
Starting run: sweep-lr1e-05-decay0.999-hidden128-batch16-gamma0.999
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.1306716999533819
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 0 | Reward: 10.53 | Avg: 10.53 | Epsilon: 0.999
Episode 1 | Reward: 15.81 | Avg: 13.17 | Epsilon: 0.998
Episode 2 | Reward: 9.39 | Avg: 11.91 | Epsilon: 0.997
Episode 3 | Reward: 25.61 | Avg: 15.34 | Epsilon: 0.996
Episode 4 | Reward: 10.21 | Avg: 14.31 | Epsilon: 0.995
Episode 5 | Reward: 9.84 | Avg: 13.57 | Epsilon: 0.994
Episode 6 | Reward: 50.85 | Avg: 18.89 | Epsilon: 0.993
Episode 7 | Reward: 26.86 | Avg: 19.89 | Epsilon: 0.992
Episode 8 | Reward: 10.90 | Avg: 18.89 | Epsilon: 0.991
Episode 9 | Reward: 16.89 | Avg: 18.69 | Epsilon: 0.990
Episode 10 | Reward: 10.25 | Avg: 17.92 | Epsilon: 0.989
Episode 11 | Reward: 9.74 | Avg: 17.24 | Epsilon: 0.988
Episode 12 | Reward: 10.07 | Avg: 16.69 | Epsilon: 0.987
Episode 13 | Reward: 17.22 | Avg: 16.73 | Epsilon: 0.986
Episode 14 | Reward: 17.07 | Avg: 16.75 | Epsilon: 0.985
Episode 15 | Reward: 24.74 | Avg: 17.25 | Epsilon: 0.984
Episode 16 | Reward: 8.94 | Avg: 16.76 | Epsilon: 0.983
Episode 17 | Reward: 62.12 | Avg: 19.28 | Epsilon: 0.982
Episode 18 | Reward: 10.28 | Avg: 18.81 | Epsilon: 0.981
Episode 19 | Reward: 8.83 | Avg: 18.31 | Epsilon: 0.980
Episode 20 | Reward: 22.20 | Avg: 18.49 | Epsilon: 0.979
Episode 21 | Reward: 8.29 | Avg: 18.03 | Epsilon: 0.978
Episode 22 | Reward: 24.83 | Avg: 18.32 | Epsilon: 0.977
Episode 23 | Reward: 10.25 | Avg: 17.99 | Epsilon: 0.976
Episode 24 | Reward: 64.62 | Avg: 19.85 | Epsilon: 0.975
Episode 25 | Reward: 15.69 | Avg: 19.69 | Epsilon: 0.974
Episode 26 | Reward: 56.35 | Avg: 21.05 | Epsilon: 0.973
Episode 27 | Reward: 9.88 | Avg: 20.65 | Epsilon: 0.972
Episode 28 | Reward: 10.44 | Avg: 20.30 | Epsilon: 0.971
Episode 29 | Reward: 10.10 | Avg: 19.96 | Epsilon: 0.970
Episode 30 | Reward: 9.95 | Avg: 19.64 | Epsilon: 0.969
Episode 31 | Reward: 9.66 | Avg: 19.33 | Epsilon: 0.968
Episode 32 | Reward: 10.70 | Avg: 19.06 | Epsilon: 0.968
Episode 33 | Reward: 17.18 | Avg: 19.01 | Epsilon: 0.967
Episode 34 | Reward: 25.78 | Avg: 19.20 | Epsilon: 0.966
Episode 35 | Reward: 10.50 | Avg: 18.96 | Epsilon: 0.965
Episode 36 | Reward: 9.14 | Avg: 18.69 | Epsilon: 0.964
Episode 37 | Reward: 25.17 | Avg: 18.87 | Epsilon: 0.963
