
Starting run: sweep-lr0.001-decay0.99-hidden32-batch64-gamma0.99
Network warmed up!
Episode 0 | Reward: 9.65 | Avg: 9.65 | Epsilon: 0.990
Episode 1 | Reward: 16.75 | Avg: 13.20 | Epsilon: 0.980
Episode 2 | Reward: 10.01 | Avg: 12.14 | Epsilon: 0.970
Episode 3 | Reward: 9.69 | Avg: 11.53 | Epsilon: 0.961
Episode 4 | Reward: 10.89 | Avg: 11.40 | Epsilon: 0.951
Episode 5 | Reward: 57.04 | Avg: 19.01 | Epsilon: 0.941
Episode 6 | Reward: 4.50 | Avg: 16.93 | Epsilon: 0.932
Episode 7 | Reward: 9.57 | Avg: 16.01 | Epsilon: 0.923
Episode 8 | Reward: 17.42 | Avg: 16.17 | Epsilon: 0.914
Episode 9 | Reward: 23.91 | Avg: 16.94 | Epsilon: 0.904
Episode 10 | Reward: 9.73 | Avg: 16.29 | Epsilon: 0.895
Episode 11 | Reward: 9.60 | Avg: 15.73 | Epsilon: 0.886
Episode 12 | Reward: 9.99 | Avg: 15.29 | Epsilon: 0.878
Episode 13 | Reward: 9.59 | Avg: 14.88 | Epsilon: 0.869
Episode 14 | Reward: 18.60 | Avg: 15.13 | Epsilon: 0.860
Episode 15 | Reward: 9.64 | Avg: 14.79 | Epsilon: 0.851
Episode 16 | Reward: 18.63 | Avg: 15.01 | Epsilon: 0.843
Episode 17 | Reward: 56.53 | Avg: 17.32 | Epsilon: 0.835
Episode 18 | Reward: 15.88 | Avg: 17.24 | Epsilon: 0.826
Episode 19 | Reward: 15.72 | Avg: 17.17 | Epsilon: 0.818
Episode 20 | Reward: 8.83 | Avg: 16.77 | Epsilon: 0.810
Episode 21 | Reward: 9.78 | Avg: 16.45 | Epsilon: 0.802
Episode 22 | Reward: 7.48 | Avg: 16.06 | Epsilon: 0.794
Episode 23 | Reward: 9.52 | Avg: 15.79 | Epsilon: 0.786
Episode 24 | Reward: 16.04 | Avg: 15.80 | Epsilon: 0.778
Episode 25 | Reward: 8.52 | Avg: 15.52 | Epsilon: 0.770
Episode 26 | Reward: 64.03 | Avg: 17.32 | Epsilon: 0.762
Episode 27 | Reward: 9.12 | Avg: 17.02 | Epsilon: 0.755
Episode 28 | Reward: 9.99 | Avg: 16.78 | Epsilon: 0.747
Episode 29 | Reward: 9.27 | Avg: 16.53 | Epsilon: 0.740
Episode 30 | Reward: 16.19 | Avg: 16.52 | Epsilon: 0.732
Episode 31 | Reward: 10.42 | Avg: 16.33 | Epsilon: 0.725
Episode 32 | Reward: 17.52 | Avg: 16.37 | Epsilon: 0.718
Episode 33 | Reward: 9.92 | Avg: 16.18 | Epsilon: 0.711
Episode 34 | Reward: 8.66 | Avg: 15.96 | Epsilon: 0.703
Episode 35 | Reward: 19.06 | Avg: 16.05 | Epsilon: 0.696
Episode 36 | Reward: 17.22 | Avg: 16.08 | Epsilon: 0.689
Episode 37 | Reward: 45.16 | Avg: 16.84 | Epsilon: 0.683
Episode 38 | Reward: 9.76 | Avg: 16.66 | Epsilon: 0.676
Episode 39 | Reward: 49.15 | Avg: 17.47 | Epsilon: 0.669
Episode 40 | Reward: 15.38 | Avg: 17.42 | Epsilon: 0.662
Episode 41 | Reward: 10.01 | Avg: 17.25 | Epsilon: 0.656
Episode 42 | Reward: 15.44 | Avg: 17.20 | Epsilon: 0.649
Episode 43 | Reward: 11.44 | Avg: 17.07 | Epsilon: 0.643
Episode 44 | Reward: 9.73 | Avg: 16.91 | Epsilon: 0.636
Episode 45 | Reward: 16.07 | Avg: 16.89 | Epsilon: 0.630
Episode 46 | Reward: 22.13 | Avg: 17.00 | Epsilon: 0.624
Episode 47 | Reward: 10.71 | Avg: 16.87 | Epsilon: 0.617
Episode 48 | Reward: 5.84 | Avg: 16.65 | Epsilon: 0.611
Episode 49 | Reward: 10.87 | Avg: 16.53 | Epsilon: 0.605
Episode 50 | Reward: 12.00 | Avg: 16.58 | Epsilon: 0.599
Episode 51 | Reward: 8.27 | Avg: 16.41 | Epsilon: 0.593
Episode 52 | Reward: 6.06 | Avg: 16.33 | Epsilon: 0.587
Episode 53 | Reward: 41.13 | Avg: 16.96 | Epsilon: 0.581
Episode 54 | Reward: 11.29 | Avg: 16.97 | Epsilon: 0.575
Episode 55 | Reward: 4.18 | Avg: 15.91 | Epsilon: 0.570
Episode 56 | Reward: 8.95 | Avg: 16.00 | Epsilon: 0.564
Episode 57 | Reward: 16.96 | Avg: 16.15 | Epsilon: 0.558
Episode 58 | Reward: 6.46 | Avg: 15.93 | Epsilon: 0.553
Episode 59 | Reward: 8.50 | Avg: 15.62 | Epsilon: 0.547
Episode 60 | Reward: 10.76 | Avg: 15.64 | Epsilon: 0.542
Episode 61 | Reward: 9.87 | Avg: 15.65 | Epsilon: 0.536
Episode 62 | Reward: 7.57 | Avg: 15.60 | Epsilon: 0.531
Episode 63 | Reward: 9.74 | Avg: 15.60 | Epsilon: 0.526
Episode 64 | Reward: 6.80 | Avg: 15.36 | Epsilon: 0.520
Episode 65 | Reward: 25.88 | Avg: 15.69 | Epsilon: 0.515
Episode 66 | Reward: 31.07 | Avg: 15.94 | Epsilon: 0.510
Episode 67 | Reward: 10.08 | Avg: 15.01 | Epsilon: 0.505
Run crashed at episode 68:
