
Starting run: sweep-lr1e-05-decay0.995-hidden128-batch32-gamma0.99
Episode 0 | Reward: 9.57 | Avg: 9.57 | Epsilon: 0.995
Episode 1 | Reward: 6.88 | Avg: 8.23 | Epsilon: 0.990
Episode 2 | Reward: 8.00 | Avg: 8.15 | Epsilon: 0.985
Episode 3 | Reward: 2.80 | Avg: 6.81 | Epsilon: 0.980
Episode 4 | Reward: 10.74 | Avg: 7.60 | Epsilon: 0.975
Episode 5 | Reward: 18.54 | Avg: 9.42 | Epsilon: 0.970
Episode 6 | Reward: 15.53 | Avg: 10.29 | Epsilon: 0.966
Episode 7 | Reward: 7.67 | Avg: 9.97 | Epsilon: 0.961
Episode 8 | Reward: 15.13 | Avg: 10.54 | Epsilon: 0.956
Episode 9 | Reward: 10.45 | Avg: 10.53 | Epsilon: 0.951
Episode 10 | Reward: 10.27 | Avg: 10.51 | Epsilon: 0.946
Episode 11 | Reward: 15.83 | Avg: 10.95 | Epsilon: 0.942
Episode 12 | Reward: 57.13 | Avg: 14.50 | Epsilon: 0.937
Episode 13 | Reward: 10.54 | Avg: 14.22 | Epsilon: 0.932
Episode 14 | Reward: 14.76 | Avg: 14.26 | Epsilon: 0.928
Episode 15 | Reward: 59.51 | Avg: 17.08 | Epsilon: 0.923
Episode 16 | Reward: 55.32 | Avg: 19.33 | Epsilon: 0.918
Episode 17 | Reward: 25.61 | Avg: 19.68 | Epsilon: 0.914
Episode 18 | Reward: 10.78 | Avg: 19.21 | Epsilon: 0.909
Episode 19 | Reward: 16.00 | Avg: 19.05 | Epsilon: 0.905
Episode 20 | Reward: 24.01 | Avg: 19.29 | Epsilon: 0.900
Episode 21 | Reward: 10.49 | Avg: 18.89 | Epsilon: 0.896
Episode 22 | Reward: 24.79 | Avg: 19.15 | Epsilon: 0.891
Episode 23 | Reward: 10.73 | Avg: 18.80 | Epsilon: 0.887
Episode 24 | Reward: 9.27 | Avg: 18.41 | Epsilon: 0.882
Episode 25 | Reward: 9.98 | Avg: 18.09 | Epsilon: 0.878
Episode 26 | Reward: 9.76 | Avg: 17.78 | Epsilon: 0.873
Episode 27 | Reward: 10.04 | Avg: 17.50 | Epsilon: 0.869
Episode 28 | Reward: 10.30 | Avg: 17.26 | Epsilon: 0.865
Episode 29 | Reward: 9.56 | Avg: 17.00 | Epsilon: 0.860
Episode 30 | Reward: 10.66 | Avg: 16.80 | Epsilon: 0.856
Episode 31 | Reward: 23.20 | Avg: 17.00 | Epsilon: 0.852
Episode 32 | Reward: 9.79 | Avg: 16.78 | Epsilon: 0.848
Episode 33 | Reward: 35.93 | Avg: 17.34 | Epsilon: 0.843
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.056605499936267734
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 34 | Reward: 19.74 | Avg: 17.41 | Epsilon: 0.839
Episode 35 | Reward: 16.53 | Avg: 17.38 | Epsilon: 0.835
Episode 36 | Reward: 9.45 | Avg: 17.17 | Epsilon: 0.831
Episode 37 | Reward: 7.53 | Avg: 16.92 | Epsilon: 0.827
Episode 38 | Reward: 15.26 | Avg: 16.87 | Epsilon: 0.822
Episode 39 | Reward: 9.97 | Avg: 16.70 | Epsilon: 0.818
Episode 40 | Reward: 10.07 | Avg: 16.54 | Epsilon: 0.814
Episode 41 | Reward: 9.80 | Avg: 16.38 | Epsilon: 0.810
Episode 42 | Reward: 61.88 | Avg: 17.44 | Epsilon: 0.806
Episode 43 | Reward: 9.81 | Avg: 17.26 | Epsilon: 0.802
Episode 44 | Reward: 10.39 | Avg: 17.11 | Epsilon: 0.798
Episode 45 | Reward: 56.72 | Avg: 17.97 | Epsilon: 0.794
Episode 46 | Reward: 15.32 | Avg: 17.92 | Epsilon: 0.790
Episode 47 | Reward: 10.53 | Avg: 17.76 | Epsilon: 0.786
Episode 48 | Reward: 66.57 | Avg: 18.76 | Epsilon: 0.782
Episode 49 | Reward: 14.86 | Avg: 18.68 | Epsilon: 0.778
Episode 50 | Reward: 9.77 | Avg: 18.68 | Epsilon: 0.774
Episode 51 | Reward: 4.11 | Avg: 18.63 | Epsilon: 0.771
Episode 52 | Reward: 10.30 | Avg: 18.67 | Epsilon: 0.767
Episode 53 | Reward: 64.20 | Avg: 19.90 | Epsilon: 0.763
Episode 54 | Reward: 23.27 | Avg: 20.15 | Epsilon: 0.759
Episode 55 | Reward: 25.10 | Avg: 20.28 | Epsilon: 0.755
Episode 56 | Reward: 10.68 | Avg: 20.19 | Epsilon: 0.751
Episode 57 | Reward: 24.76 | Avg: 20.53 | Epsilon: 0.748
Episode 58 | Reward: 9.63 | Avg: 20.42 | Epsilon: 0.744
Episode 59 | Reward: 9.73 | Avg: 20.40 | Epsilon: 0.740
Episode 60 | Reward: 10.36 | Avg: 20.41 | Epsilon: 0.737
Episode 61 | Reward: 9.23 | Avg: 20.27 | Epsilon: 0.733
Episode 62 | Reward: 9.74 | Avg: 19.33 | Epsilon: 0.729
Episode 63 | Reward: 9.74 | Avg: 19.31 | Epsilon: 0.726
Episode 64 | Reward: 9.21 | Avg: 19.20 | Epsilon: 0.722
Episode 65 | Reward: 11.25 | Avg: 18.23 | Epsilon: 0.718
Episode 66 | Reward: 49.96 | Avg: 18.13 | Epsilon: 0.715
Episode 67 | Reward: 10.93 | Avg: 17.83 | Epsilon: 0.711
Episode 68 | Reward: 10.62 | Avg: 17.83 | Epsilon: 0.708
Episode 69 | Reward: 69.23 | Avg: 18.90 | Epsilon: 0.704
Episode 70 | Reward: 14.80 | Avg: 18.71 | Epsilon: 0.701
Episode 71 | Reward: 2.88 | Avg: 18.56 | Epsilon: 0.697
Episode 72 | Reward: 22.92 | Avg: 18.52 | Epsilon: 0.694
Episode 73 | Reward: 16.31 | Avg: 18.63 | Epsilon: 0.690
Episode 74 | Reward: 23.59 | Avg: 18.92 | Epsilon: 0.687
Episode 75 | Reward: 10.97 | Avg: 18.94 | Epsilon: 0.683
Episode 76 | Reward: 10.99 | Avg: 18.96 | Epsilon: 0.680
Episode 77 | Reward: 9.16 | Avg: 18.95 | Epsilon: 0.676
Episode 78 | Reward: 49.07 | Avg: 19.72 | Epsilon: 0.673
Episode 79 | Reward: 8.63 | Avg: 19.70 | Epsilon: 0.670
Episode 80 | Reward: 9.80 | Avg: 19.69 | Epsilon: 0.666
Episode 81 | Reward: 8.29 | Avg: 19.39 | Epsilon: 0.663
Episode 82 | Reward: 9.39 | Avg: 19.38 | Epsilon: 0.660
Episode 83 | Reward: 9.24 | Avg: 18.85 | Epsilon: 0.656
Episode 84 | Reward: 10.75 | Avg: 18.67 | Epsilon: 0.653
Episode 85 | Reward: 11.59 | Avg: 18.57 | Epsilon: 0.650
Episode 86 | Reward: 10.10 | Avg: 18.58 | Epsilon: 0.647
Episode 87 | Reward: 46.07 | Avg: 19.35 | Epsilon: 0.643
Episode 88 | Reward: 11.47 | Avg: 19.28 | Epsilon: 0.640
Episode 89 | Reward: 63.04 | Avg: 20.34 | Epsilon: 0.637
Episode 90 | Reward: 64.85 | Avg: 21.43 | Epsilon: 0.634
Episode 91 | Reward: 3.46 | Avg: 21.31 | Epsilon: 0.631
Episode 92 | Reward: 8.70 | Avg: 20.24 | Epsilon: 0.627
Episode 93 | Reward: 10.95 | Avg: 20.26 | Epsilon: 0.624
Episode 94 | Reward: 15.02 | Avg: 20.36 | Epsilon: 0.621
Episode 95 | Reward: 10.01 | Avg: 19.42 | Epsilon: 0.618
Episode 96 | Reward: 6.94 | Avg: 19.26 | Epsilon: 0.615
Episode 97 | Reward: 11.18 | Avg: 19.27 | Epsilon: 0.612
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.053062699851579964
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 98 | Reward: 17.23 | Avg: 18.28 | Epsilon: 0.609
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.05345189993386157
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 99 | Reward: 61.18 | Avg: 19.21 | Epsilon: 0.606
Episode 100 | Reward: 4.69 | Avg: 19.11 | Epsilon: 0.603
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.10078309828531928
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 101 | Reward: 52.60 | Avg: 20.08 | Epsilon: 0.600
Episode 102 | Reward: 61.51 | Avg: 21.10 | Epsilon: 0.597
Episode 103 | Reward: 6.97 | Avg: 19.96 | Epsilon: 0.594
Episode 104 | Reward: 10.66 | Avg: 19.70 | Epsilon: 0.591
Episode 105 | Reward: 10.18 | Avg: 19.41 | Epsilon: 0.588
Episode 106 | Reward: 8.35 | Avg: 19.36 | Epsilon: 0.585
Episode 107 | Reward: 22.63 | Avg: 19.32 | Epsilon: 0.582
Episode 108 | Reward: 46.41 | Avg: 20.05 | Epsilon: 0.579
Episode 109 | Reward: 10.46 | Avg: 20.07 | Epsilon: 0.576
Episode 110 | Reward: 9.87 | Avg: 20.06 | Epsilon: 0.573
Episode 111 | Reward: 10.52 | Avg: 20.08 | Epsilon: 0.570
Episode 112 | Reward: 5.92 | Avg: 20.01 | Epsilon: 0.568
Episode 113 | Reward: 10.48 | Avg: 20.02 | Epsilon: 0.565
Episode 114 | Reward: 3.74 | Avg: 19.91 | Epsilon: 0.562
Episode 115 | Reward: 9.72 | Avg: 19.88 | Epsilon: 0.559
Episode 116 | Reward: 12.75 | Avg: 19.14 | Epsilon: 0.556
Episode 117 | Reward: 9.21 | Avg: 19.10 | Epsilon: 0.554
Episode 118 | Reward: 10.08 | Avg: 19.09 | Epsilon: 0.551
Episode 119 | Reward: 16.32 | Avg: 18.03 | Epsilon: 0.548
Episode 120 | Reward: 7.66 | Avg: 17.89 | Epsilon: 0.545
Episode 121 | Reward: 22.00 | Avg: 18.27 | Epsilon: 0.543
Episode 122 | Reward: 17.56 | Avg: 18.17 | Epsilon: 0.540
Episode 123 | Reward: 15.62 | Avg: 18.15 | Epsilon: 0.537
Episode 124 | Reward: 2.25 | Avg: 17.72 | Epsilon: 0.534
Episode 125 | Reward: 59.12 | Avg: 18.69 | Epsilon: 0.532
Episode 126 | Reward: 4.74 | Avg: 18.56 | Epsilon: 0.529
Episode 127 | Reward: 0.09 | Avg: 18.38 | Epsilon: 0.526
Episode 128 | Reward: 9.99 | Avg: 17.60 | Epsilon: 0.524
Episode 129 | Reward: 22.46 | Avg: 17.88 | Epsilon: 0.521
Episode 130 | Reward: 10.30 | Avg: 17.89 | Epsilon: 0.519
Episode 131 | Reward: 27.11 | Avg: 18.26 | Epsilon: 0.516
Episode 132 | Reward: 8.98 | Avg: 18.25 | Epsilon: 0.513
Episode 133 | Reward: 3.57 | Avg: 18.14 | Epsilon: 0.511
Episode 134 | Reward: 8.65 | Avg: 18.10 | Epsilon: 0.508
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.06946069982950576
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 135 | Reward: 8.89 | Avg: 18.05 | Epsilon: 0.506
Episode 136 | Reward: 14.51 | Avg: 18.13 | Epsilon: 0.503
Episode 137 | Reward: 25.08 | Avg: 17.71 | Epsilon: 0.501
Episode 138 | Reward: 47.51 | Avg: 18.43 | Epsilon: 0.498
Episode 139 | Reward: 9.29 | Avg: 17.36 | Epsilon: 0.496
Episode 140 | Reward: 9.55 | Avg: 16.25 | Epsilon: 0.493
Episode 141 | Reward: 10.18 | Avg: 16.39 | Epsilon: 0.491
Episode 142 | Reward: 20.24 | Avg: 16.62 | Epsilon: 0.488
Episode 143 | Reward: 10.80 | Avg: 16.62 | Epsilon: 0.486
Episode 144 | Reward: 15.52 | Avg: 16.63 | Epsilon: 0.483
Episode 145 | Reward: 26.25 | Avg: 16.95 | Epsilon: 0.481
Episode 146 | Reward: 10.19 | Avg: 17.02 | Epsilon: 0.479
Episode 147 | Reward: 5.77 | Avg: 16.91 | Epsilon: 0.476
Episode 148 | Reward: 22.23 | Avg: 17.01 | Epsilon: 0.474
Episode 149 | Reward: 9.27 | Avg: 15.97 | Epsilon: 0.471
Episode 150 | Reward: 9.32 | Avg: 16.06 | Epsilon: 0.469
Episode 151 | Reward: 0.48 | Avg: 15.02 | Epsilon: 0.467
Episode 152 | Reward: 9.35 | Avg: 13.98 | Epsilon: 0.464
Episode 153 | Reward: 70.66 | Avg: 15.25 | Epsilon: 0.462
Episode 154 | Reward: 26.37 | Avg: 15.56 | Epsilon: 0.460
Episode 155 | Reward: 2.29 | Avg: 15.41 | Epsilon: 0.458
Episode 156 | Reward: 7.96 | Avg: 15.40 | Epsilon: 0.455
Episode 157 | Reward: 16.01 | Avg: 15.27 | Epsilon: 0.453
Episode 158 | Reward: 22.47 | Avg: 14.79 | Epsilon: 0.451
Episode 159 | Reward: 2.34 | Avg: 14.62 | Epsilon: 0.448
Episode 160 | Reward: 9.69 | Avg: 14.62 | Epsilon: 0.446
Episode 161 | Reward: 8.44 | Avg: 14.58 | Epsilon: 0.444
Episode 162 | Reward: 8.95 | Avg: 14.64 | Epsilon: 0.442
Episode 163 | Reward: 7.43 | Avg: 14.58 | Epsilon: 0.440
Episode 164 | Reward: 9.66 | Avg: 14.70 | Epsilon: 0.437
