
Starting run: sweep-lr0.001-decay0.99-hidden32-batch64-gamma0.999
Network warmed up!
Episode 0 | Reward: 10.56 | Avg: 10.56 | Epsilon: 0.990
Episode 1 | Reward: 19.06 | Avg: 14.81 | Epsilon: 0.980
Episode 2 | Reward: 71.64 | Avg: 33.75 | Epsilon: 0.970
Episode 3 | Reward: 16.47 | Avg: 29.43 | Epsilon: 0.961
Episode 4 | Reward: 16.29 | Avg: 26.80 | Epsilon: 0.951
Episode 5 | Reward: 10.04 | Avg: 24.01 | Epsilon: 0.941
Episode 6 | Reward: 10.16 | Avg: 22.03 | Epsilon: 0.932
Episode 7 | Reward: 64.84 | Avg: 27.38 | Epsilon: 0.923
Episode 8 | Reward: 24.70 | Avg: 27.08 | Epsilon: 0.914
Episode 9 | Reward: 10.43 | Avg: 25.42 | Epsilon: 0.904
Episode 10 | Reward: 10.81 | Avg: 24.09 | Epsilon: 0.895
Episode 11 | Reward: 10.01 | Avg: 22.92 | Epsilon: 0.886
Episode 12 | Reward: 9.98 | Avg: 21.92 | Epsilon: 0.878
Episode 13 | Reward: 9.10 | Avg: 21.01 | Epsilon: 0.869
Episode 14 | Reward: 30.93 | Avg: 21.67 | Epsilon: 0.860
Episode 15 | Reward: 15.40 | Avg: 21.28 | Epsilon: 0.851
Episode 16 | Reward: 16.26 | Avg: 20.98 | Epsilon: 0.843
Episode 17 | Reward: 10.35 | Avg: 20.39 | Epsilon: 0.835
Episode 18 | Reward: 10.26 | Avg: 19.86 | Epsilon: 0.826
Episode 19 | Reward: 9.38 | Avg: 19.33 | Epsilon: 0.818
Episode 20 | Reward: 16.50 | Avg: 19.20 | Epsilon: 0.810
Episode 21 | Reward: 5.23 | Avg: 18.56 | Epsilon: 0.802
Episode 22 | Reward: 36.67 | Avg: 19.35 | Epsilon: 0.794
Episode 23 | Reward: 7.60 | Avg: 18.86 | Epsilon: 0.786
Episode 24 | Reward: 28.65 | Avg: 19.25 | Epsilon: 0.778
Episode 25 | Reward: 10.13 | Avg: 18.90 | Epsilon: 0.770
Episode 26 | Reward: 62.35 | Avg: 20.51 | Epsilon: 0.762
Episode 27 | Reward: 22.17 | Avg: 20.57 | Epsilon: 0.755
Episode 28 | Reward: 8.60 | Avg: 20.16 | Epsilon: 0.747
Episode 29 | Reward: 10.08 | Avg: 19.82 | Epsilon: 0.740
