
Starting run: sweep-lr1e-05-decay0.999-hidden64-batch32-gamma0.99
Network warmed up!
Episode 0 | Reward: 15.77 | Avg: 15.77 | Epsilon: 0.999
Episode 1 | Reward: 10.05 | Avg: 12.91 | Epsilon: 0.998
Episode 2 | Reward: 10.39 | Avg: 12.07 | Epsilon: 0.997
Episode 3 | Reward: 61.80 | Avg: 24.50 | Epsilon: 0.996
Episode 4 | Reward: 15.69 | Avg: 22.74 | Epsilon: 0.995
Episode 5 | Reward: 11.26 | Avg: 20.83 | Epsilon: 0.994
Episode 6 | Reward: 6.99 | Avg: 18.85 | Epsilon: 0.993
Episode 7 | Reward: 15.97 | Avg: 18.49 | Epsilon: 0.992
Episode 8 | Reward: 22.51 | Avg: 18.94 | Epsilon: 0.991
Episode 9 | Reward: 17.72 | Avg: 18.82 | Epsilon: 0.990
Episode 10 | Reward: 10.33 | Avg: 18.04 | Epsilon: 0.989
Episode 11 | Reward: 54.53 | Avg: 21.08 | Epsilon: 0.988
Episode 12 | Reward: 10.24 | Avg: 20.25 | Epsilon: 0.987
Episode 13 | Reward: 15.85 | Avg: 19.94 | Epsilon: 0.986
Episode 14 | Reward: 58.03 | Avg: 22.48 | Epsilon: 0.985
Episode 15 | Reward: 11.57 | Avg: 21.79 | Epsilon: 0.984
Episode 16 | Reward: 10.05 | Avg: 21.10 | Epsilon: 0.983
Episode 17 | Reward: 27.32 | Avg: 21.45 | Epsilon: 0.982
Episode 18 | Reward: 10.09 | Avg: 20.85 | Epsilon: 0.981
Episode 19 | Reward: 19.26 | Avg: 20.77 | Epsilon: 0.980
Episode 20 | Reward: 17.50 | Avg: 20.62 | Epsilon: 0.979
Episode 21 | Reward: 9.53 | Avg: 20.11 | Epsilon: 0.978
Episode 22 | Reward: 24.47 | Avg: 20.30 | Epsilon: 0.977
Episode 23 | Reward: 9.21 | Avg: 19.84 | Epsilon: 0.976
Episode 24 | Reward: 9.75 | Avg: 19.44 | Epsilon: 0.975
Episode 25 | Reward: 9.60 | Avg: 19.06 | Epsilon: 0.974
Episode 26 | Reward: 11.27 | Avg: 18.77 | Epsilon: 0.973
Episode 27 | Reward: 10.02 | Avg: 18.46 | Epsilon: 0.972
Episode 28 | Reward: 11.30 | Avg: 18.21 | Epsilon: 0.971
Episode 29 | Reward: 9.73 | Avg: 17.93 | Epsilon: 0.970
Episode 30 | Reward: 9.71 | Avg: 17.66 | Epsilon: 0.969
Episode 31 | Reward: 9.71 | Avg: 17.41 | Epsilon: 0.968
Episode 32 | Reward: 23.15 | Avg: 17.59 | Epsilon: 0.968
Episode 33 | Reward: 10.13 | Avg: 17.37 | Epsilon: 0.967
Episode 34 | Reward: 10.13 | Avg: 17.16 | Epsilon: 0.966
Episode 35 | Reward: 9.63 | Avg: 16.95 | Epsilon: 0.965
Episode 36 | Reward: 34.46 | Avg: 17.42 | Epsilon: 0.964
Episode 37 | Reward: 9.96 | Avg: 17.23 | Epsilon: 0.963
Episode 38 | Reward: 51.03 | Avg: 18.10 | Epsilon: 0.962
Episode 39 | Reward: 46.70 | Avg: 18.81 | Epsilon: 0.961
Episode 40 | Reward: 2.74 | Avg: 18.42 | Epsilon: 0.960
Episode 41 | Reward: 10.07 | Avg: 18.22 | Epsilon: 0.959
Episode 42 | Reward: 8.89 | Avg: 18.00 | Epsilon: 0.958
Episode 43 | Reward: 8.71 | Avg: 17.79 | Epsilon: 0.957
Episode 44 | Reward: 8.76 | Avg: 17.59 | Epsilon: 0.956
Episode 45 | Reward: 16.08 | Avg: 17.56 | Epsilon: 0.955
Episode 46 | Reward: 9.20 | Avg: 17.38 | Epsilon: 0.954
Episode 47 | Reward: 40.02 | Avg: 17.85 | Epsilon: 0.953
Episode 48 | Reward: 31.67 | Avg: 18.13 | Epsilon: 0.952
Episode 49 | Reward: 10.18 | Avg: 17.97 | Epsilon: 0.951
Episode 50 | Reward: 9.16 | Avg: 17.84 | Epsilon: 0.950
Episode 51 | Reward: 17.43 | Avg: 17.99 | Epsilon: 0.949
Episode 52 | Reward: 9.38 | Avg: 17.97 | Epsilon: 0.948
Episode 53 | Reward: 10.02 | Avg: 16.93 | Epsilon: 0.947
Episode 54 | Reward: 3.15 | Avg: 16.68 | Epsilon: 0.946
Episode 55 | Reward: 22.96 | Avg: 16.92 | Epsilon: 0.946
Episode 56 | Reward: 25.14 | Avg: 17.28 | Epsilon: 0.945
Episode 57 | Reward: 25.43 | Avg: 17.47 | Epsilon: 0.944
Episode 58 | Reward: 16.86 | Avg: 17.36 | Epsilon: 0.943
Episode 59 | Reward: 68.89 | Avg: 18.38 | Epsilon: 0.942
Episode 60 | Reward: 61.54 | Avg: 19.40 | Epsilon: 0.941
Episode 61 | Reward: 2.65 | Avg: 18.37 | Epsilon: 0.940
Episode 62 | Reward: 68.30 | Avg: 19.53 | Epsilon: 0.939
Episode 63 | Reward: 10.21 | Avg: 19.42 | Epsilon: 0.938
Episode 64 | Reward: 58.78 | Avg: 19.43 | Epsilon: 0.937
Episode 65 | Reward: 16.75 | Avg: 19.53 | Epsilon: 0.936
Episode 66 | Reward: 9.36 | Avg: 19.52 | Epsilon: 0.935
Episode 67 | Reward: 10.08 | Avg: 19.18 | Epsilon: 0.934
Episode 68 | Reward: 3.11 | Avg: 19.04 | Epsilon: 0.933
Episode 69 | Reward: 23.91 | Avg: 19.13 | Epsilon: 0.932
Episode 70 | Reward: 8.90 | Avg: 18.96 | Epsilon: 0.931
Episode 71 | Reward: 10.06 | Avg: 18.97 | Epsilon: 0.930
Episode 72 | Reward: 9.79 | Avg: 18.67 | Epsilon: 0.930
Episode 73 | Reward: 10.12 | Avg: 18.69 | Epsilon: 0.929
Episode 74 | Reward: 9.83 | Avg: 18.69 | Epsilon: 0.928
Episode 75 | Reward: 10.25 | Avg: 18.71 | Epsilon: 0.927
Episode 76 | Reward: 9.18 | Avg: 18.66 | Epsilon: 0.926
Episode 77 | Reward: 2.17 | Avg: 18.51 | Epsilon: 0.925
Episode 78 | Reward: 59.08 | Avg: 19.46 | Epsilon: 0.924
Episode 79 | Reward: 41.37 | Avg: 20.10 | Epsilon: 0.923
Episode 80 | Reward: 9.87 | Avg: 20.10 | Epsilon: 0.922
Episode 81 | Reward: 16.40 | Avg: 20.23 | Epsilon: 0.921
Episode 82 | Reward: 10.08 | Avg: 19.97 | Epsilon: 0.920
Episode 83 | Reward: 10.63 | Avg: 19.98 | Epsilon: 0.919
Episode 84 | Reward: 3.25 | Avg: 19.84 | Epsilon: 0.918
Episode 85 | Reward: 23.22 | Avg: 20.12 | Epsilon: 0.918
Episode 86 | Reward: 9.27 | Avg: 19.61 | Epsilon: 0.917
Episode 87 | Reward: 24.43 | Avg: 19.90 | Epsilon: 0.916
Episode 88 | Reward: 23.50 | Avg: 19.35 | Epsilon: 0.915
Episode 89 | Reward: 68.23 | Avg: 19.78 | Epsilon: 0.914
Episode 90 | Reward: 16.12 | Avg: 20.05 | Epsilon: 0.913
Episode 91 | Reward: 10.18 | Avg: 20.05 | Epsilon: 0.912
Episode 92 | Reward: 10.35 | Avg: 20.08 | Epsilon: 0.911
Episode 93 | Reward: 17.25 | Avg: 20.25 | Epsilon: 0.910
Episode 94 | Reward: 10.43 | Avg: 20.28 | Epsilon: 0.909
Episode 95 | Reward: 11.24 | Avg: 20.19 | Epsilon: 0.908
Episode 96 | Reward: 10.03 | Avg: 20.20 | Epsilon: 0.908
Episode 97 | Reward: 10.06 | Avg: 19.61 | Epsilon: 0.907
Episode 98 | Reward: 10.47 | Avg: 19.18 | Epsilon: 0.906
Episode 99 | Reward: 65.78 | Avg: 20.29 | Epsilon: 0.905
Episode 100 | Reward: 10.10 | Avg: 20.31 | Epsilon: 0.904
Episode 101 | Reward: 9.07 | Avg: 20.14 | Epsilon: 0.903
Episode 102 | Reward: 9.68 | Avg: 20.15 | Epsilon: 0.902
Episode 103 | Reward: 10.23 | Avg: 20.15 | Epsilon: 0.901
Episode 104 | Reward: 9.40 | Avg: 20.28 | Epsilon: 0.900
Episode 105 | Reward: 10.62 | Avg: 20.03 | Epsilon: 0.899
Episode 106 | Reward: 10.29 | Avg: 19.74 | Epsilon: 0.898
Episode 107 | Reward: 71.69 | Avg: 20.66 | Epsilon: 0.898
Episode 108 | Reward: 15.36 | Avg: 20.63 | Epsilon: 0.897
Episode 109 | Reward: 9.97 | Avg: 19.45 | Epsilon: 0.896
Episode 110 | Reward: 9.41 | Avg: 18.41 | Epsilon: 0.895
Episode 111 | Reward: 57.53 | Avg: 19.51 | Epsilon: 0.894
Episode 112 | Reward: 26.06 | Avg: 18.66 | Epsilon: 0.893
Episode 113 | Reward: 23.58 | Avg: 18.93 | Epsilon: 0.892
Episode 114 | Reward: 10.12 | Avg: 17.96 | Epsilon: 0.891
Episode 115 | Reward: 68.08 | Avg: 18.98 | Epsilon: 0.890
Episode 116 | Reward: 10.33 | Avg: 19.00 | Epsilon: 0.890
Episode 117 | Reward: 9.62 | Avg: 18.99 | Epsilon: 0.889
Episode 118 | Reward: 10.50 | Avg: 19.14 | Epsilon: 0.888
Episode 119 | Reward: 10.70 | Avg: 18.88 | Epsilon: 0.887
Episode 120 | Reward: 16.45 | Avg: 19.03 | Epsilon: 0.886
Episode 121 | Reward: 9.44 | Avg: 19.02 | Epsilon: 0.885
Episode 122 | Reward: 25.58 | Avg: 19.33 | Epsilon: 0.884
Episode 123 | Reward: 23.73 | Avg: 19.60 | Epsilon: 0.883
Episode 124 | Reward: 10.11 | Avg: 19.61 | Epsilon: 0.882
Episode 125 | Reward: 9.65 | Avg: 19.60 | Epsilon: 0.882
Episode 126 | Reward: 9.80 | Avg: 19.61 | Epsilon: 0.881
Episode 127 | Reward: 9.45 | Avg: 19.76 | Epsilon: 0.880
Episode 128 | Reward: 10.25 | Avg: 18.78 | Epsilon: 0.879
Episode 129 | Reward: 59.96 | Avg: 19.15 | Epsilon: 0.878
Episode 130 | Reward: 8.83 | Avg: 19.13 | Epsilon: 0.877
Episode 131 | Reward: 22.51 | Avg: 19.25 | Epsilon: 0.876
Episode 132 | Reward: 23.15 | Avg: 19.51 | Epsilon: 0.875
Episode 133 | Reward: 9.62 | Avg: 19.49 | Epsilon: 0.875
Episode 134 | Reward: 15.61 | Avg: 19.74 | Epsilon: 0.874
Episode 135 | Reward: 9.76 | Avg: 19.47 | Epsilon: 0.873
Episode 136 | Reward: 10.33 | Avg: 19.49 | Epsilon: 0.872
Episode 137 | Reward: 10.34 | Avg: 19.21 | Epsilon: 0.871
Episode 138 | Reward: 9.68 | Avg: 18.93 | Epsilon: 0.870
Episode 139 | Reward: 9.84 | Avg: 17.77 | Epsilon: 0.869
Episode 140 | Reward: 10.10 | Avg: 17.65 | Epsilon: 0.868
Episode 141 | Reward: 9.68 | Avg: 17.64 | Epsilon: 0.868
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.19359350032755174
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 142 | Reward: 27.80 | Avg: 17.99 | Epsilon: 0.867
Episode 143 | Reward: 9.98 | Avg: 17.84 | Epsilon: 0.866
Episode 144 | Reward: 9.91 | Avg: 17.83 | Epsilon: 0.865
Episode 145 | Reward: 22.73 | Avg: 18.06 | Epsilon: 0.864
Episode 146 | Reward: 10.24 | Avg: 18.06 | Epsilon: 0.863
Episode 147 | Reward: 9.41 | Avg: 18.05 | Epsilon: 0.862
Episode 148 | Reward: 70.68 | Avg: 19.25 | Epsilon: 0.862
Episode 149 | Reward: 2.92 | Avg: 18.00 | Epsilon: 0.861
Episode 150 | Reward: 7.79 | Avg: 17.95 | Epsilon: 0.860
Episode 151 | Reward: 9.67 | Avg: 17.96 | Epsilon: 0.859
Episode 152 | Reward: 9.74 | Avg: 17.96 | Epsilon: 0.858
Episode 153 | Reward: 70.05 | Avg: 19.16 | Epsilon: 0.857
Episode 154 | Reward: 24.02 | Avg: 19.45 | Epsilon: 0.856
Episode 155 | Reward: 9.97 | Avg: 19.44 | Epsilon: 0.855
Episode 156 | Reward: 10.50 | Avg: 19.44 | Epsilon: 0.855
Episode 157 | Reward: 10.04 | Avg: 18.21 | Epsilon: 0.854
Episode 158 | Reward: 22.99 | Avg: 18.36 | Epsilon: 0.853
Episode 159 | Reward: 72.50 | Avg: 19.61 | Epsilon: 0.852
Episode 160 | Reward: 9.80 | Avg: 19.62 | Epsilon: 0.851
Episode 161 | Reward: 8.56 | Avg: 18.64 | Epsilon: 0.850
Episode 162 | Reward: 9.09 | Avg: 18.30 | Epsilon: 0.850
Episode 163 | Reward: 10.42 | Avg: 18.04 | Epsilon: 0.849
Episode 164 | Reward: 10.21 | Avg: 18.04 | Epsilon: 0.848
Episode 165 | Reward: 9.91 | Avg: 16.88 | Epsilon: 0.847
Episode 166 | Reward: 9.95 | Avg: 16.87 | Epsilon: 0.846
Episode 167 | Reward: 10.65 | Avg: 16.89 | Epsilon: 0.845
Episode 168 | Reward: 25.39 | Avg: 17.19 | Epsilon: 0.844
Episode 169 | Reward: 44.47 | Avg: 17.87 | Epsilon: 0.844
Episode 170 | Reward: 9.24 | Avg: 17.72 | Epsilon: 0.843
Episode 171 | Reward: 10.14 | Avg: 17.74 | Epsilon: 0.842
Episode 172 | Reward: 8.82 | Avg: 17.40 | Epsilon: 0.841
Episode 173 | Reward: 10.30 | Avg: 17.13 | Epsilon: 0.840
Episode 174 | Reward: 10.67 | Avg: 17.14 | Epsilon: 0.839
Episode 175 | Reward: 9.82 | Avg: 17.15 | Epsilon: 0.839
Episode 176 | Reward: 1.95 | Avg: 16.99 | Epsilon: 0.838
Episode 177 | Reward: 78.67 | Avg: 18.37 | Epsilon: 0.837
Episode 178 | Reward: 9.72 | Avg: 18.36 | Epsilon: 0.836
Episode 179 | Reward: 9.61 | Avg: 17.36 | Epsilon: 0.835
Episode 180 | Reward: 70.24 | Avg: 18.58 | Epsilon: 0.834
Episode 181 | Reward: 10.18 | Avg: 18.34 | Epsilon: 0.834
Episode 182 | Reward: 10.33 | Avg: 18.08 | Epsilon: 0.833
Episode 183 | Reward: 10.43 | Avg: 18.10 | Epsilon: 0.832
Episode 184 | Reward: 25.40 | Avg: 18.29 | Epsilon: 0.831
Episode 185 | Reward: 10.77 | Avg: 18.31 | Epsilon: 0.830
Episode 186 | Reward: 60.10 | Avg: 19.31 | Epsilon: 0.829
Episode 187 | Reward: 16.93 | Avg: 19.44 | Epsilon: 0.829
Episode 188 | Reward: 16.16 | Avg: 19.57 | Epsilon: 0.828
Episode 189 | Reward: 9.68 | Avg: 19.57 | Epsilon: 0.827
Episode 190 | Reward: 10.30 | Avg: 19.57 | Epsilon: 0.826
Episode 191 | Reward: 10.12 | Avg: 19.58 | Epsilon: 0.825
Episode 192 | Reward: 10.12 | Avg: 19.23 | Epsilon: 0.824
Episode 193 | Reward: 15.12 | Avg: 19.33 | Epsilon: 0.824
Episode 194 | Reward: 9.64 | Avg: 19.32 | Epsilon: 0.823
Episode 195 | Reward: 67.71 | Avg: 20.22 | Epsilon: 0.822
Episode 196 | Reward: 24.89 | Avg: 20.52 | Epsilon: 0.821
Episode 197 | Reward: 15.76 | Avg: 20.64 | Epsilon: 0.820
Episode 198 | Reward: 10.59 | Avg: 19.44 | Epsilon: 0.819
Episode 199 | Reward: 36.72 | Avg: 20.12 | Epsilon: 0.819
Episode 200 | Reward: 22.63 | Avg: 20.41 | Epsilon: 0.818
Episode 201 | Reward: 32.78 | Avg: 20.88 | Epsilon: 0.817
Episode 202 | Reward: 64.07 | Avg: 21.96 | Epsilon: 0.816
Episode 203 | Reward: 9.66 | Avg: 20.75 | Epsilon: 0.815
Episode 204 | Reward: 10.14 | Avg: 20.48 | Epsilon: 0.815
Episode 205 | Reward: 26.64 | Avg: 20.81 | Epsilon: 0.814
Episode 206 | Reward: 7.98 | Avg: 20.76 | Epsilon: 0.813
Episode 207 | Reward: 16.19 | Avg: 20.88 | Epsilon: 0.812
Episode 208 | Reward: 54.76 | Avg: 21.52 | Epsilon: 0.811
Episode 209 | Reward: 9.04 | Avg: 20.25 | Epsilon: 0.810
Episode 210 | Reward: 9.44 | Avg: 20.24 | Epsilon: 0.810
Episode 211 | Reward: 9.74 | Avg: 20.27 | Epsilon: 0.809
Episode 212 | Reward: 16.46 | Avg: 20.41 | Epsilon: 0.808
Episode 213 | Reward: 10.03 | Avg: 20.41 | Epsilon: 0.807
Episode 214 | Reward: 23.55 | Avg: 20.67 | Epsilon: 0.806
Episode 215 | Reward: 68.46 | Avg: 21.84 | Epsilon: 0.806
Episode 216 | Reward: 30.31 | Avg: 22.25 | Epsilon: 0.805
Episode 217 | Reward: 9.53 | Avg: 22.23 | Epsilon: 0.804
Episode 218 | Reward: 10.48 | Avg: 21.93 | Epsilon: 0.803
Episode 219 | Reward: 25.21 | Avg: 21.54 | Epsilon: 0.802
Episode 220 | Reward: 16.09 | Avg: 21.68 | Epsilon: 0.802
Episode 221 | Reward: 11.49 | Avg: 21.71 | Epsilon: 0.801
Episode 222 | Reward: 68.15 | Avg: 22.90 | Epsilon: 0.800
Episode 223 | Reward: 23.13 | Avg: 23.15 | Epsilon: 0.799
Episode 224 | Reward: 23.50 | Avg: 23.41 | Epsilon: 0.798
Episode 225 | Reward: 9.28 | Avg: 23.40 | Epsilon: 0.798
Episode 226 | Reward: 9.81 | Avg: 23.55 | Epsilon: 0.797
Episode 227 | Reward: 9.72 | Avg: 22.18 | Epsilon: 0.796
Episode 228 | Reward: 9.70 | Avg: 22.18 | Epsilon: 0.795
Episode 229 | Reward: 25.43 | Avg: 22.49 | Epsilon: 0.794
Episode 230 | Reward: 10.80 | Avg: 21.30 | Epsilon: 0.794
Episode 231 | Reward: 9.77 | Avg: 21.29 | Epsilon: 0.793
Episode 232 | Reward: 10.10 | Avg: 21.29 | Epsilon: 0.792
Episode 233 | Reward: 5.27 | Avg: 21.19 | Epsilon: 0.791
Episode 234 | Reward: 3.21 | Avg: 20.74 | Epsilon: 0.790
Episode 235 | Reward: 10.43 | Avg: 20.74 | Epsilon: 0.790
Episode 236 | Reward: 10.16 | Avg: 19.74 | Epsilon: 0.789
Episode 237 | Reward: 10.08 | Avg: 19.60 | Epsilon: 0.788
Episode 238 | Reward: 58.62 | Avg: 20.45 | Epsilon: 0.787
Episode 239 | Reward: 10.04 | Avg: 20.46 | Epsilon: 0.787
Episode 240 | Reward: 10.01 | Avg: 20.45 | Epsilon: 0.786
Episode 241 | Reward: 10.26 | Avg: 20.45 | Epsilon: 0.785
