
Starting run: sweep-lr0.001-decay0.999-hidden128-batch16-gamma0.99
Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 10.653973100470466
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 0 | Reward: 24.20 | Avg: 24.20 | Epsilon: 0.999
Episode 1 | Reward: 16.81 | Avg: 20.51 | Epsilon: 0.998
Episode 2 | Reward: 10.30 | Avg: 17.10 | Epsilon: 0.997
Episode 3 | Reward: 9.05 | Avg: 15.09 | Epsilon: 0.996
Episode 4 | Reward: 10.28 | Avg: 14.13 | Epsilon: 0.995
Episode 5 | Reward: 8.55 | Avg: 13.20 | Epsilon: 0.994
Episode 6 | Reward: 56.94 | Avg: 19.45 | Epsilon: 0.993
Episode 7 | Reward: 16.47 | Avg: 19.08 | Epsilon: 0.992
Episode 8 | Reward: 9.43 | Avg: 18.00 | Epsilon: 0.991
Episode 9 | Reward: 9.89 | Avg: 17.19 | Epsilon: 0.990
Episode 10 | Reward: 9.96 | Avg: 16.53 | Epsilon: 0.989
Episode 11 | Reward: 17.63 | Avg: 16.63 | Epsilon: 0.988
Episode 12 | Reward: 19.49 | Avg: 16.85 | Epsilon: 0.987
Episode 13 | Reward: 10.43 | Avg: 16.39 | Epsilon: 0.986
Episode 14 | Reward: 22.33 | Avg: 16.78 | Epsilon: 0.985
Episode 15 | Reward: 33.58 | Avg: 17.83 | Epsilon: 0.984
Episode 16 | Reward: 16.83 | Avg: 17.77 | Epsilon: 0.983
Episode 17 | Reward: 17.61 | Avg: 17.77 | Epsilon: 0.982
Episode 18 | Reward: 9.53 | Avg: 17.33 | Epsilon: 0.981
Episode 19 | Reward: 24.17 | Avg: 17.67 | Epsilon: 0.980
Episode 20 | Reward: 10.71 | Avg: 17.34 | Epsilon: 0.979
Episode 21 | Reward: 25.27 | Avg: 17.70 | Epsilon: 0.978
Episode 22 | Reward: 24.16 | Avg: 17.98 | Epsilon: 0.977
Episode 23 | Reward: 19.41 | Avg: 18.04 | Epsilon: 0.976
Episode 24 | Reward: 7.84 | Avg: 17.63 | Epsilon: 0.975
Episode 25 | Reward: 9.77 | Avg: 17.33 | Epsilon: 0.974
Episode 26 | Reward: 10.40 | Avg: 17.08 | Epsilon: 0.973
Episode 27 | Reward: 23.13 | Avg: 17.29 | Epsilon: 0.972
Episode 28 | Reward: 17.36 | Avg: 17.29 | Epsilon: 0.971
Episode 29 | Reward: 11.51 | Avg: 17.10 | Epsilon: 0.970
Episode 30 | Reward: 15.77 | Avg: 17.06 | Epsilon: 0.969
Episode 31 | Reward: 15.69 | Avg: 17.02 | Epsilon: 0.968
Episode 32 | Reward: 9.86 | Avg: 16.80 | Epsilon: 0.968
Episode 33 | Reward: 15.71 | Avg: 16.77 | Epsilon: 0.967
Episode 34 | Reward: 17.09 | Avg: 16.78 | Epsilon: 0.966
Episode 35 | Reward: 31.52 | Avg: 17.19 | Epsilon: 0.965
Episode 36 | Reward: 16.64 | Avg: 17.17 | Epsilon: 0.964
Episode 37 | Reward: 9.79 | Avg: 16.98 | Epsilon: 0.963
Episode 38 | Reward: 10.37 | Avg: 16.81 | Epsilon: 0.962
Episode 39 | Reward: 15.66 | Avg: 16.78 | Epsilon: 0.961
Episode 40 | Reward: 9.16 | Avg: 16.59 | Epsilon: 0.960
Episode 41 | Reward: 46.42 | Avg: 17.30 | Epsilon: 0.959
Episode 42 | Reward: 9.00 | Avg: 17.11 | Epsilon: 0.958
Episode 43 | Reward: 34.89 | Avg: 17.51 | Epsilon: 0.957
Episode 44 | Reward: 10.20 | Avg: 17.35 | Epsilon: 0.956
Episode 45 | Reward: 65.72 | Avg: 18.40 | Epsilon: 0.955
Episode 46 | Reward: 10.37 | Avg: 18.23 | Epsilon: 0.954
Episode 47 | Reward: 9.00 | Avg: 18.04 | Epsilon: 0.953
Episode 48 | Reward: 9.96 | Avg: 17.87 | Epsilon: 0.952
Episode 49 | Reward: 57.05 | Avg: 18.66 | Epsilon: 0.951
Episode 50 | Reward: 10.47 | Avg: 18.38 | Epsilon: 0.950
Episode 51 | Reward: 68.11 | Avg: 19.41 | Epsilon: 0.949
Episode 52 | Reward: 22.72 | Avg: 19.66 | Epsilon: 0.948
Episode 53 | Reward: 9.37 | Avg: 19.66 | Epsilon: 0.947
Episode 54 | Reward: 10.00 | Avg: 19.66 | Epsilon: 0.946
Episode 55 | Reward: 14.80 | Avg: 19.78 | Epsilon: 0.946
Episode 56 | Reward: 10.06 | Avg: 18.85 | Epsilon: 0.945
