
Starting run: sweep-lr1e-05-decay0.999-hidden32-batch32-gamma0.99
Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 10.521337000100175
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 0 | Reward: 16.81 | Avg: 16.81 | Epsilon: 0.999
Episode 1 | Reward: 10.40 | Avg: 13.61 | Epsilon: 0.998
Episode 2 | Reward: 24.86 | Avg: 17.36 | Epsilon: 0.997
Episode 3 | Reward: 24.14 | Avg: 19.05 | Epsilon: 0.996
Episode 4 | Reward: 16.58 | Avg: 18.56 | Epsilon: 0.995
Episode 5 | Reward: 8.23 | Avg: 16.84 | Epsilon: 0.994
Episode 6 | Reward: 15.26 | Avg: 16.61 | Epsilon: 0.993
Episode 7 | Reward: 9.52 | Avg: 15.73 | Epsilon: 0.992
Episode 8 | Reward: 22.82 | Avg: 16.51 | Epsilon: 0.991
Episode 9 | Reward: 22.63 | Avg: 17.13 | Epsilon: 0.990
Episode 10 | Reward: 10.13 | Avg: 16.49 | Epsilon: 0.989
Episode 11 | Reward: 8.30 | Avg: 15.81 | Epsilon: 0.988
Episode 12 | Reward: 22.62 | Avg: 16.33 | Epsilon: 0.987
Episode 13 | Reward: 66.73 | Avg: 19.93 | Epsilon: 0.986
Episode 14 | Reward: 10.60 | Avg: 19.31 | Epsilon: 0.985
Episode 15 | Reward: 10.32 | Avg: 18.75 | Epsilon: 0.984
Episode 16 | Reward: 15.88 | Avg: 18.58 | Epsilon: 0.983
Episode 17 | Reward: 9.71 | Avg: 18.09 | Epsilon: 0.982
Episode 18 | Reward: 9.42 | Avg: 17.63 | Epsilon: 0.981
Episode 19 | Reward: 8.83 | Avg: 17.19 | Epsilon: 0.980
Episode 20 | Reward: 10.28 | Avg: 16.86 | Epsilon: 0.979
Episode 21 | Reward: 58.64 | Avg: 18.76 | Epsilon: 0.978
Episode 22 | Reward: 10.10 | Avg: 18.38 | Epsilon: 0.977
Episode 23 | Reward: 30.97 | Avg: 18.91 | Epsilon: 0.976
Episode 24 | Reward: 25.29 | Avg: 19.16 | Epsilon: 0.975
Episode 25 | Reward: 23.96 | Avg: 19.35 | Epsilon: 0.974
Episode 26 | Reward: 10.61 | Avg: 19.02 | Epsilon: 0.973
Episode 27 | Reward: 31.11 | Avg: 19.46 | Epsilon: 0.972
Episode 28 | Reward: 9.92 | Avg: 19.13 | Epsilon: 0.971
Episode 29 | Reward: 10.33 | Avg: 18.83 | Epsilon: 0.970
Episode 30 | Reward: 9.66 | Avg: 18.54 | Epsilon: 0.969
Episode 31 | Reward: 38.70 | Avg: 19.17 | Epsilon: 0.968
Episode 32 | Reward: 9.82 | Avg: 18.88 | Epsilon: 0.968
Episode 33 | Reward: 3.90 | Avg: 18.44 | Epsilon: 0.967
Episode 34 | Reward: 17.28 | Avg: 18.41 | Epsilon: 0.966
Episode 35 | Reward: 15.09 | Avg: 18.32 | Epsilon: 0.965
Episode 36 | Reward: 9.97 | Avg: 18.09 | Epsilon: 0.964
Episode 37 | Reward: 24.56 | Avg: 18.26 | Epsilon: 0.963
Episode 38 | Reward: 8.54 | Avg: 18.01 | Epsilon: 0.962
Episode 39 | Reward: 16.73 | Avg: 17.98 | Epsilon: 0.961
Episode 40 | Reward: 9.60 | Avg: 17.78 | Epsilon: 0.960
Episode 41 | Reward: 25.51 | Avg: 17.96 | Epsilon: 0.959
Episode 42 | Reward: 10.28 | Avg: 17.78 | Epsilon: 0.958
Episode 43 | Reward: 10.18 | Avg: 17.61 | Epsilon: 0.957
Episode 44 | Reward: 17.37 | Avg: 17.60 | Epsilon: 0.956
Episode 45 | Reward: 10.14 | Avg: 17.44 | Epsilon: 0.955
Episode 46 | Reward: 10.21 | Avg: 17.29 | Epsilon: 0.954
Episode 47 | Reward: 19.55 | Avg: 17.34 | Epsilon: 0.953
Episode 48 | Reward: 9.43 | Avg: 17.17 | Epsilon: 0.952
Episode 49 | Reward: 19.34 | Avg: 17.22 | Epsilon: 0.951
Episode 50 | Reward: 9.07 | Avg: 17.06 | Epsilon: 0.950
Episode 51 | Reward: 9.12 | Avg: 17.04 | Epsilon: 0.949
Run crashed at episode 52:
