
Starting run: p2-lr1e-05-decay0.997-gamma0.95-tgt20
Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.2187609999018605
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 0 | Reward: 0.00 | Avg: 0.00 | Epsilon: 0.997
Episode 1 | Reward: 18.97 | Avg: 9.49 | Epsilon: 0.994
Episode 2 | Reward: 9.24 | Avg: 9.40 | Epsilon: 0.991
Episode 3 | Reward: 9.71 | Avg: 9.48 | Epsilon: 0.988
Episode 4 | Reward: 15.51 | Avg: 10.69 | Epsilon: 0.985
Episode 5 | Reward: 10.04 | Avg: 10.58 | Epsilon: 0.982
Episode 6 | Reward: 10.33 | Avg: 10.54 | Epsilon: 0.979
Episode 7 | Reward: 15.99 | Avg: 11.22 | Epsilon: 0.976
Episode 8 | Reward: 69.64 | Avg: 17.71 | Epsilon: 0.973
Episode 9 | Reward: 10.05 | Avg: 16.95 | Epsilon: 0.970
Episode 10 | Reward: 15.39 | Avg: 16.81 | Epsilon: 0.967
Episode 11 | Reward: 25.40 | Avg: 17.52 | Epsilon: 0.965
Episode 12 | Reward: 24.32 | Avg: 18.05 | Epsilon: 0.962
Episode 13 | Reward: 8.73 | Avg: 17.38 | Epsilon: 0.959
Episode 14 | Reward: 9.99 | Avg: 16.89 | Epsilon: 0.956
Episode 15 | Reward: 6.94 | Avg: 16.27 | Epsilon: 0.953
Episode 16 | Reward: 10.81 | Avg: 15.94 | Epsilon: 0.950
Episode 17 | Reward: 26.77 | Avg: 16.55 | Epsilon: 0.947
Episode 18 | Reward: 9.27 | Avg: 16.16 | Epsilon: 0.945
Episode 19 | Reward: 25.17 | Avg: 16.61 | Epsilon: 0.942
Episode 20 | Reward: 9.86 | Avg: 16.29 | Epsilon: 0.939
Episode 21 | Reward: 9.73 | Avg: 15.99 | Epsilon: 0.936
Episode 22 | Reward: 10.19 | Avg: 15.74 | Epsilon: 0.933
Episode 23 | Reward: 23.46 | Avg: 16.06 | Epsilon: 0.930
Episode 24 | Reward: 9.74 | Avg: 15.81 | Epsilon: 0.928
Episode 25 | Reward: 24.79 | Avg: 16.16 | Epsilon: 0.925
Episode 26 | Reward: 17.18 | Avg: 16.19 | Epsilon: 0.922
Episode 27 | Reward: 3.18 | Avg: 15.73 | Epsilon: 0.919
Episode 28 | Reward: 9.07 | Avg: 15.50 | Epsilon: 0.917
