
Starting run: p2-lr1e-05-decay0.999-gamma0.99-tgt20
Network warmed up!
Episode 0 | Reward: 10.30 | Avg: 10.30 | Epsilon: 0.999
Episode 1 | Reward: 10.17 | Avg: 10.24 | Epsilon: 0.998
Episode 2 | Reward: 18.16 | Avg: 12.88 | Epsilon: 0.997
Episode 3 | Reward: 11.31 | Avg: 12.49 | Epsilon: 0.996
Episode 4 | Reward: 89.13 | Avg: 27.81 | Epsilon: 0.995
Episode 5 | Reward: 24.53 | Avg: 27.27 | Epsilon: 0.994
Episode 6 | Reward: 21.86 | Avg: 26.49 | Epsilon: 0.993
Episode 7 | Reward: 16.92 | Avg: 25.30 | Epsilon: 0.992
Episode 8 | Reward: 8.34 | Avg: 23.41 | Epsilon: 0.991
Episode 9 | Reward: 9.37 | Avg: 22.01 | Epsilon: 0.990
Episode 10 | Reward: 9.27 | Avg: 20.85 | Epsilon: 0.989
Episode 11 | Reward: 32.56 | Avg: 21.83 | Epsilon: 0.988
Episode 12 | Reward: 9.40 | Avg: 20.87 | Epsilon: 0.987
Episode 13 | Reward: 10.19 | Avg: 20.11 | Epsilon: 0.986
Episode 14 | Reward: 10.98 | Avg: 19.50 | Epsilon: 0.985
Episode 15 | Reward: 11.57 | Avg: 19.00 | Epsilon: 0.984
Episode 16 | Reward: 16.68 | Avg: 18.87 | Epsilon: 0.983
Episode 17 | Reward: 23.25 | Avg: 19.11 | Epsilon: 0.982
Episode 18 | Reward: 18.89 | Avg: 19.10 | Epsilon: 0.981
Episode 19 | Reward: 9.34 | Avg: 18.61 | Epsilon: 0.980
Episode 20 | Reward: 10.56 | Avg: 18.23 | Epsilon: 0.979
Episode 21 | Reward: 7.71 | Avg: 17.75 | Epsilon: 0.978
Episode 22 | Reward: 9.11 | Avg: 17.37 | Epsilon: 0.977
Episode 23 | Reward: 10.12 | Avg: 17.07 | Epsilon: 0.976
Episode 24 | Reward: 9.38 | Avg: 16.76 | Epsilon: 0.975
Episode 25 | Reward: 15.88 | Avg: 16.73 | Epsilon: 0.974
Episode 26 | Reward: 16.50 | Avg: 16.72 | Epsilon: 0.973
Episode 27 | Reward: 15.27 | Avg: 16.67 | Epsilon: 0.972
Episode 28 | Reward: 10.47 | Avg: 16.46 | Epsilon: 0.971
Episode 29 | Reward: 9.83 | Avg: 16.24 | Epsilon: 0.970
Episode 30 | Reward: 9.61 | Avg: 16.02 | Epsilon: 0.969
Episode 31 | Reward: 89.41 | Avg: 18.31 | Epsilon: 0.968
Episode 32 | Reward: 14.82 | Avg: 18.21 | Epsilon: 0.968
Episode 33 | Reward: 11.04 | Avg: 18.00 | Epsilon: 0.967
Episode 34 | Reward: 23.81 | Avg: 18.16 | Epsilon: 0.966
Episode 35 | Reward: 16.89 | Avg: 18.13 | Epsilon: 0.965
Episode 36 | Reward: 17.45 | Avg: 18.11 | Epsilon: 0.964
Episode 37 | Reward: 76.42 | Avg: 19.64 | Epsilon: 0.963
Episode 38 | Reward: 9.99 | Avg: 19.40 | Epsilon: 0.962
Episode 39 | Reward: 8.06 | Avg: 19.11 | Epsilon: 0.961
Episode 40 | Reward: 70.23 | Avg: 20.36 | Epsilon: 0.960
Episode 41 | Reward: 30.92 | Avg: 20.61 | Epsilon: 0.959
Episode 42 | Reward: 8.50 | Avg: 20.33 | Epsilon: 0.958
Episode 43 | Reward: 26.27 | Avg: 20.47 | Epsilon: 0.957
Episode 44 | Reward: 10.21 | Avg: 20.24 | Epsilon: 0.956
Episode 45 | Reward: 15.48 | Avg: 20.13 | Epsilon: 0.955
Episode 46 | Reward: 9.28 | Avg: 19.90 | Epsilon: 0.954
Episode 47 | Reward: 9.98 | Avg: 19.70 | Epsilon: 0.953
Episode 48 | Reward: 23.63 | Avg: 19.78 | Epsilon: 0.952
Episode 49 | Reward: 16.74 | Avg: 19.72 | Epsilon: 0.951
Episode 50 | Reward: 15.95 | Avg: 19.83 | Epsilon: 0.950
Episode 51 | Reward: 10.90 | Avg: 19.84 | Epsilon: 0.949
Episode 52 | Reward: 8.74 | Avg: 19.66 | Epsilon: 0.948
Episode 53 | Reward: 9.81 | Avg: 19.63 | Epsilon: 0.947
Episode 54 | Reward: 24.61 | Avg: 18.33 | Epsilon: 0.946
Episode 55 | Reward: 34.19 | Avg: 18.53 | Epsilon: 0.946
Episode 56 | Reward: 18.24 | Avg: 18.46 | Epsilon: 0.945
Episode 57 | Reward: 24.56 | Avg: 18.61 | Epsilon: 0.944
Episode 58 | Reward: 10.01 | Avg: 18.64 | Epsilon: 0.943
Episode 59 | Reward: 8.66 | Avg: 18.63 | Epsilon: 0.942
Episode 60 | Reward: 10.77 | Avg: 18.66 | Epsilon: 0.941
Episode 61 | Reward: 16.71 | Avg: 18.34 | Epsilon: 0.940
Episode 62 | Reward: 8.67 | Avg: 18.33 | Epsilon: 0.939
Episode 63 | Reward: 17.29 | Avg: 18.47 | Epsilon: 0.938
Episode 64 | Reward: 11.70 | Avg: 18.48 | Epsilon: 0.937
