
Starting run: p2-lr5e-06-decay0.999-gamma0.95-tgt20
Network warmed up!
Episode 0 | Reward: 27.41 | Avg: 27.41 | Epsilon: 0.999
Episode 1 | Reward: 10.29 | Avg: 18.85 | Epsilon: 0.998
Episode 2 | Reward: 9.86 | Avg: 15.85 | Epsilon: 0.997
Episode 3 | Reward: 16.88 | Avg: 16.11 | Epsilon: 0.996
Episode 4 | Reward: 10.09 | Avg: 14.91 | Epsilon: 0.995
Episode 5 | Reward: 10.26 | Avg: 14.13 | Epsilon: 0.994
Episode 6 | Reward: 19.09 | Avg: 14.84 | Epsilon: 0.993
Episode 7 | Reward: 2.82 | Avg: 13.34 | Epsilon: 0.992
Episode 8 | Reward: 78.44 | Avg: 20.57 | Epsilon: 0.991
Episode 9 | Reward: 15.87 | Avg: 20.10 | Epsilon: 0.990
Episode 10 | Reward: 16.19 | Avg: 19.75 | Epsilon: 0.989
Episode 11 | Reward: 9.60 | Avg: 18.90 | Epsilon: 0.988
Episode 12 | Reward: 8.82 | Avg: 18.12 | Epsilon: 0.987
Episode 13 | Reward: 10.79 | Avg: 17.60 | Epsilon: 0.986
Episode 14 | Reward: 16.21 | Avg: 17.51 | Epsilon: 0.985
Episode 15 | Reward: 9.99 | Avg: 17.04 | Epsilon: 0.984
Episode 16 | Reward: 9.62 | Avg: 16.60 | Epsilon: 0.983
Episode 17 | Reward: 15.64 | Avg: 16.55 | Epsilon: 0.982
Episode 18 | Reward: 15.74 | Avg: 16.51 | Epsilon: 0.981
Episode 19 | Reward: 16.60 | Avg: 16.51 | Epsilon: 0.980
Episode 20 | Reward: 18.06 | Avg: 16.58 | Epsilon: 0.979
Episode 21 | Reward: 24.80 | Avg: 16.96 | Epsilon: 0.978
Episode 22 | Reward: 27.28 | Avg: 17.41 | Epsilon: 0.977
Episode 23 | Reward: 10.21 | Avg: 17.11 | Epsilon: 0.976
Episode 24 | Reward: 17.29 | Avg: 17.11 | Epsilon: 0.975
Episode 25 | Reward: 16.05 | Avg: 17.07 | Epsilon: 0.974
Episode 26 | Reward: 8.91 | Avg: 16.77 | Epsilon: 0.973
Episode 27 | Reward: 23.81 | Avg: 17.02 | Epsilon: 0.972
Episode 28 | Reward: 25.72 | Avg: 17.32 | Epsilon: 0.971
Episode 29 | Reward: 25.74 | Avg: 17.60 | Epsilon: 0.970
Episode 30 | Reward: 9.29 | Avg: 17.33 | Epsilon: 0.969
Episode 31 | Reward: 9.18 | Avg: 17.08 | Epsilon: 0.968
Episode 32 | Reward: 3.50 | Avg: 16.67 | Epsilon: 0.968
Episode 33 | Reward: 35.46 | Avg: 17.22 | Epsilon: 0.967
Episode 34 | Reward: 15.91 | Avg: 17.18 | Epsilon: 0.966
Episode 35 | Reward: 16.96 | Avg: 17.18 | Epsilon: 0.965
Episode 36 | Reward: 9.88 | Avg: 16.98 | Epsilon: 0.964
Episode 37 | Reward: 76.87 | Avg: 18.56 | Epsilon: 0.963
Episode 38 | Reward: 23.66 | Avg: 18.69 | Epsilon: 0.962
Episode 39 | Reward: 10.01 | Avg: 18.47 | Epsilon: 0.961
Episode 40 | Reward: 15.25 | Avg: 18.39 | Epsilon: 0.960
Episode 41 | Reward: 9.98 | Avg: 18.19 | Epsilon: 0.959
Episode 42 | Reward: 9.89 | Avg: 18.00 | Epsilon: 0.958
Episode 43 | Reward: 9.52 | Avg: 17.81 | Epsilon: 0.957
Episode 44 | Reward: 9.21 | Avg: 17.61 | Epsilon: 0.956
Episode 45 | Reward: 129.77 | Avg: 20.05 | Epsilon: 0.955
Episode 46 | Reward: 52.71 | Avg: 20.75 | Epsilon: 0.954
Episode 47 | Reward: 15.10 | Avg: 20.63 | Epsilon: 0.953
Episode 48 | Reward: 4.86 | Avg: 20.31 | Epsilon: 0.952
Episode 49 | Reward: 15.97 | Avg: 20.22 | Epsilon: 0.951
Episode 50 | Reward: 6.24 | Avg: 19.80 | Epsilon: 0.950
Episode 51 | Reward: 15.99 | Avg: 19.91 | Epsilon: 0.949
Episode 52 | Reward: 10.03 | Avg: 19.92 | Epsilon: 0.948
Episode 53 | Reward: 9.99 | Avg: 19.78 | Epsilon: 0.947
Episode 54 | Reward: 17.18 | Avg: 19.92 | Epsilon: 0.946
Episode 55 | Reward: 9.66 | Avg: 19.91 | Epsilon: 0.946
Episode 56 | Reward: 16.18 | Avg: 19.85 | Epsilon: 0.945
Episode 57 | Reward: 9.09 | Avg: 19.97 | Epsilon: 0.944
Episode 58 | Reward: 9.33 | Avg: 18.59 | Epsilon: 0.943
Episode 59 | Reward: 15.62 | Avg: 18.59 | Epsilon: 0.942
Episode 60 | Reward: 9.94 | Avg: 18.46 | Epsilon: 0.941
Episode 61 | Reward: 15.36 | Avg: 18.58 | Epsilon: 0.940
Episode 62 | Reward: 16.88 | Avg: 18.74 | Epsilon: 0.939
Episode 63 | Reward: 8.82 | Avg: 18.70 | Epsilon: 0.938
Episode 64 | Reward: 14.64 | Avg: 18.67 | Epsilon: 0.937
