
Starting run: p2-lr5e-06-decay0.999-gamma0.99-tgt10
Network warmed up!
Episode 0 | Reward: 15.21 | Avg: 15.21 | Epsilon: 0.999
Episode 1 | Reward: 10.98 | Avg: 13.10 | Epsilon: 0.998
Episode 2 | Reward: 9.68 | Avg: 11.96 | Epsilon: 0.997
Episode 3 | Reward: 23.86 | Avg: 14.93 | Epsilon: 0.996
Episode 4 | Reward: 23.50 | Avg: 16.65 | Epsilon: 0.995
Episode 5 | Reward: 15.93 | Avg: 16.53 | Epsilon: 0.994
Episode 6 | Reward: 9.60 | Avg: 15.54 | Epsilon: 0.993
Episode 7 | Reward: 9.17 | Avg: 14.74 | Epsilon: 0.992
Episode 8 | Reward: 17.42 | Avg: 15.04 | Epsilon: 0.991
Episode 9 | Reward: 16.63 | Avg: 15.20 | Epsilon: 0.990
Episode 10 | Reward: 9.77 | Avg: 14.70 | Epsilon: 0.989
Episode 11 | Reward: 30.53 | Avg: 16.02 | Epsilon: 0.988
Episode 12 | Reward: 10.33 | Avg: 15.59 | Epsilon: 0.987
Episode 13 | Reward: 9.75 | Avg: 15.17 | Epsilon: 0.986
Episode 14 | Reward: 15.60 | Avg: 15.20 | Epsilon: 0.985
Episode 15 | Reward: 10.09 | Avg: 14.88 | Epsilon: 0.984
Episode 16 | Reward: 34.91 | Avg: 16.06 | Epsilon: 0.983
Episode 17 | Reward: 16.65 | Avg: 16.09 | Epsilon: 0.982
Episode 18 | Reward: 10.37 | Avg: 15.79 | Epsilon: 0.981
Episode 19 | Reward: 15.20 | Avg: 15.76 | Epsilon: 0.980
Episode 20 | Reward: 9.67 | Avg: 15.47 | Epsilon: 0.979
Episode 21 | Reward: 9.95 | Avg: 15.22 | Epsilon: 0.978
Episode 22 | Reward: 10.03 | Avg: 14.99 | Epsilon: 0.977
Episode 23 | Reward: 23.50 | Avg: 15.35 | Epsilon: 0.976
Episode 24 | Reward: 10.35 | Avg: 15.15 | Epsilon: 0.975
Episode 25 | Reward: 9.54 | Avg: 14.93 | Epsilon: 0.974
Episode 26 | Reward: 4.06 | Avg: 14.53 | Epsilon: 0.973
Episode 27 | Reward: 8.58 | Avg: 14.32 | Epsilon: 0.972
Episode 28 | Reward: 7.78 | Avg: 14.09 | Epsilon: 0.971
Episode 29 | Reward: 9.72 | Avg: 13.95 | Epsilon: 0.970
Episode 30 | Reward: 11.14 | Avg: 13.85 | Epsilon: 0.969
Episode 31 | Reward: 60.19 | Avg: 15.30 | Epsilon: 0.968
Episode 32 | Reward: 10.48 | Avg: 15.16 | Epsilon: 0.968
Episode 33 | Reward: 10.97 | Avg: 15.03 | Epsilon: 0.967
Episode 34 | Reward: 10.44 | Avg: 14.90 | Epsilon: 0.966
Episode 35 | Reward: 8.57 | Avg: 14.73 | Epsilon: 0.965
Episode 36 | Reward: 10.19 | Avg: 14.60 | Epsilon: 0.964
Episode 37 | Reward: 68.11 | Avg: 16.01 | Epsilon: 0.963
Episode 38 | Reward: 10.50 | Avg: 15.87 | Epsilon: 0.962
Episode 39 | Reward: 18.82 | Avg: 15.94 | Epsilon: 0.961
Episode 40 | Reward: 69.87 | Avg: 17.26 | Epsilon: 0.960
Episode 41 | Reward: 10.04 | Avg: 17.09 | Epsilon: 0.959
Episode 42 | Reward: 10.98 | Avg: 16.95 | Epsilon: 0.958
Episode 43 | Reward: 10.15 | Avg: 16.79 | Epsilon: 0.957
Episode 44 | Reward: 88.57 | Avg: 18.39 | Epsilon: 0.956
Episode 45 | Reward: 23.63 | Avg: 18.50 | Epsilon: 0.955
Episode 46 | Reward: 10.25 | Avg: 18.32 | Epsilon: 0.954
Episode 47 | Reward: 45.85 | Avg: 18.90 | Epsilon: 0.953
Episode 48 | Reward: 16.51 | Avg: 18.85 | Epsilon: 0.952
Episode 49 | Reward: 25.26 | Avg: 18.98 | Epsilon: 0.951
Episode 50 | Reward: 7.34 | Avg: 18.82 | Epsilon: 0.950
Episode 51 | Reward: 15.33 | Avg: 18.91 | Epsilon: 0.949
Episode 52 | Reward: 24.75 | Avg: 19.21 | Epsilon: 0.948
Episode 53 | Reward: 24.42 | Avg: 19.22 | Epsilon: 0.947
Episode 54 | Reward: 76.91 | Avg: 20.29 | Epsilon: 0.946
Episode 55 | Reward: 89.52 | Avg: 21.76 | Epsilon: 0.946
Episode 56 | Reward: 11.02 | Avg: 21.79 | Epsilon: 0.945
Episode 57 | Reward: 90.06 | Avg: 23.41 | Epsilon: 0.944
Episode 58 | Reward: 16.40 | Avg: 23.39 | Epsilon: 0.943
Episode 59 | Reward: 2.91 | Avg: 23.11 | Epsilon: 0.942
Episode 60 | Reward: 17.12 | Avg: 23.26 | Epsilon: 0.941
Episode 61 | Reward: 10.13 | Avg: 22.85 | Epsilon: 0.940
Episode 62 | Reward: 9.77 | Avg: 22.84 | Epsilon: 0.939
Episode 63 | Reward: 11.47 | Avg: 22.87 | Epsilon: 0.938
Episode 64 | Reward: 89.75 | Avg: 24.36 | Epsilon: 0.937
Episode 65 | Reward: 9.99 | Avg: 24.35 | Epsilon: 0.936
Episode 66 | Reward: 11.25 | Avg: 23.88 | Epsilon: 0.935
Episode 67 | Reward: 9.90 | Avg: 23.75 | Epsilon: 0.934
Episode 68 | Reward: 23.61 | Avg: 24.01 | Epsilon: 0.933
Episode 69 | Reward: 18.61 | Avg: 24.08 | Epsilon: 0.932
Episode 70 | Reward: 9.11 | Avg: 24.07 | Epsilon: 0.931
Episode 71 | Reward: 9.93 | Avg: 24.07 | Epsilon: 0.930
Episode 72 | Reward: 89.36 | Avg: 25.65 | Epsilon: 0.930
Episode 73 | Reward: 10.02 | Avg: 25.38 | Epsilon: 0.929
Episode 74 | Reward: 9.48 | Avg: 25.37 | Epsilon: 0.928
Episode 75 | Reward: 25.28 | Avg: 25.68 | Epsilon: 0.927
Episode 76 | Reward: 40.07 | Avg: 26.40 | Epsilon: 0.926
Episode 77 | Reward: 9.90 | Avg: 26.43 | Epsilon: 0.925
Episode 78 | Reward: 10.98 | Avg: 26.49 | Epsilon: 0.924
Episode 79 | Reward: 10.14 | Avg: 26.50 | Epsilon: 0.923
Episode 80 | Reward: 75.40 | Avg: 27.79 | Epsilon: 0.922
Episode 81 | Reward: 10.75 | Avg: 26.80 | Epsilon: 0.921
Episode 82 | Reward: 10.85 | Avg: 26.80 | Epsilon: 0.920
Episode 83 | Reward: 10.01 | Avg: 26.79 | Epsilon: 0.919
Episode 84 | Reward: 10.29 | Avg: 26.78 | Epsilon: 0.918
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.07147480771527626
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\Wille\anaconda3\envs\trackmania-rl\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.05063770752167329
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 85 | Reward: 68.72 | Avg: 27.99 | Epsilon: 0.918
Episode 86 | Reward: 9.92 | Avg: 27.98 | Epsilon: 0.917
Episode 87 | Reward: 16.70 | Avg: 26.95 | Epsilon: 0.916
Episode 88 | Reward: 9.86 | Avg: 26.94 | Epsilon: 0.915
Episode 89 | Reward: 24.09 | Avg: 27.04 | Epsilon: 0.914
Episode 90 | Reward: 9.76 | Avg: 25.84 | Epsilon: 0.913
Episode 91 | Reward: 76.35 | Avg: 27.17 | Epsilon: 0.912
Episode 92 | Reward: 90.03 | Avg: 28.75 | Epsilon: 0.911
Episode 93 | Reward: 10.70 | Avg: 28.76 | Epsilon: 0.910
Episode 94 | Reward: 88.60 | Avg: 28.76 | Epsilon: 0.909
Episode 95 | Reward: 24.49 | Avg: 28.78 | Epsilon: 0.908
Episode 96 | Reward: 2.62 | Avg: 28.63 | Epsilon: 0.908
Episode 97 | Reward: 16.61 | Avg: 28.04 | Epsilon: 0.907
Episode 98 | Reward: 23.03 | Avg: 28.17 | Epsilon: 0.906
Episode 99 | Reward: 16.58 | Avg: 28.00 | Epsilon: 0.905
Episode 100 | Reward: 18.04 | Avg: 28.21 | Epsilon: 0.904
Episode 101 | Reward: 9.45 | Avg: 28.09 | Epsilon: 0.903
Episode 102 | Reward: 17.31 | Avg: 27.95 | Epsilon: 0.902
Episode 103 | Reward: 54.95 | Avg: 28.56 | Epsilon: 0.901
Episode 104 | Reward: 10.46 | Avg: 27.23 | Epsilon: 0.900
Episode 105 | Reward: 8.85 | Avg: 25.61 | Epsilon: 0.899
Episode 106 | Reward: 9.88 | Avg: 25.59 | Epsilon: 0.898
Episode 107 | Reward: 9.72 | Avg: 23.98 | Epsilon: 0.898
Episode 108 | Reward: 9.12 | Avg: 23.84 | Epsilon: 0.897
Episode 109 | Reward: 22.81 | Avg: 24.24 | Epsilon: 0.896
Episode 110 | Reward: 9.49 | Avg: 24.08 | Epsilon: 0.895
Episode 111 | Reward: 17.03 | Avg: 24.22 | Epsilon: 0.894
Episode 112 | Reward: 15.59 | Avg: 24.34 | Epsilon: 0.893
Episode 113 | Reward: 10.19 | Avg: 24.31 | Epsilon: 0.892
Episode 114 | Reward: 9.94 | Avg: 22.72 | Epsilon: 0.891
Episode 115 | Reward: 15.21 | Avg: 22.82 | Epsilon: 0.890
Episode 116 | Reward: 16.09 | Avg: 22.92 | Epsilon: 0.890
Episode 117 | Reward: 9.91 | Avg: 22.92 | Epsilon: 0.889
Episode 118 | Reward: 10.05 | Avg: 22.65 | Epsilon: 0.888
Episode 119 | Reward: 10.20 | Avg: 22.48 | Epsilon: 0.887
Episode 120 | Reward: 15.83 | Avg: 22.61 | Epsilon: 0.886
Episode 121 | Reward: 16.85 | Avg: 22.75 | Epsilon: 0.885
Episode 122 | Reward: 9.52 | Avg: 21.15 | Epsilon: 0.884
Episode 123 | Reward: 10.09 | Avg: 21.16 | Epsilon: 0.883
Episode 124 | Reward: 10.35 | Avg: 21.17 | Epsilon: 0.882
Episode 125 | Reward: 15.76 | Avg: 20.98 | Epsilon: 0.882
Episode 126 | Reward: 11.21 | Avg: 20.41 | Epsilon: 0.881
Episode 127 | Reward: 76.05 | Avg: 21.73 | Epsilon: 0.880
Episode 128 | Reward: 88.60 | Avg: 23.28 | Epsilon: 0.879
Episode 129 | Reward: 10.26 | Avg: 23.28 | Epsilon: 0.878
Episode 130 | Reward: 69.10 | Avg: 23.16 | Epsilon: 0.877
Episode 131 | Reward: 9.19 | Avg: 23.13 | Epsilon: 0.876
Episode 132 | Reward: 10.24 | Avg: 23.11 | Epsilon: 0.875
Episode 133 | Reward: 24.96 | Avg: 23.41 | Epsilon: 0.875
Episode 134 | Reward: 10.84 | Avg: 23.42 | Epsilon: 0.874
Episode 135 | Reward: 82.50 | Avg: 23.70 | Epsilon: 0.873
Episode 136 | Reward: 17.32 | Avg: 23.85 | Epsilon: 0.872
Episode 137 | Reward: 9.53 | Avg: 23.70 | Epsilon: 0.871
Episode 138 | Reward: 24.28 | Avg: 23.99 | Epsilon: 0.870
Episode 139 | Reward: 9.53 | Avg: 23.70 | Epsilon: 0.869
Episode 140 | Reward: 77.46 | Avg: 25.06 | Epsilon: 0.868
Episode 141 | Reward: 11.23 | Avg: 23.75 | Epsilon: 0.868
Episode 142 | Reward: 16.93 | Avg: 22.29 | Epsilon: 0.867
Episode 143 | Reward: 16.51 | Avg: 22.41 | Epsilon: 0.866
Episode 144 | Reward: 9.23 | Avg: 20.82 | Epsilon: 0.865
Episode 145 | Reward: 52.63 | Avg: 21.38 | Epsilon: 0.864
Episode 146 | Reward: 10.56 | Avg: 21.54 | Epsilon: 0.863
Episode 147 | Reward: 10.67 | Avg: 21.42 | Epsilon: 0.862
Episode 148 | Reward: 8.71 | Avg: 21.14 | Epsilon: 0.862
Episode 149 | Reward: 9.43 | Avg: 20.99 | Epsilon: 0.861
Episode 150 | Reward: 9.42 | Avg: 20.82 | Epsilon: 0.860
Episode 151 | Reward: 34.14 | Avg: 21.31 | Epsilon: 0.859
Episode 152 | Reward: 23.24 | Avg: 21.43 | Epsilon: 0.858
Episode 153 | Reward: 8.84 | Avg: 20.51 | Epsilon: 0.857
Episode 154 | Reward: 9.07 | Avg: 20.48 | Epsilon: 0.856
Episode 155 | Reward: 9.50 | Avg: 20.50 | Epsilon: 0.855
Episode 156 | Reward: 10.48 | Avg: 20.51 | Epsilon: 0.855
Episode 157 | Reward: 16.35 | Avg: 20.64 | Epsilon: 0.854
Episode 158 | Reward: 37.36 | Avg: 21.21 | Epsilon: 0.853
Episode 159 | Reward: 9.80 | Avg: 20.95 | Epsilon: 0.852
Episode 160 | Reward: 74.99 | Avg: 22.26 | Epsilon: 0.851
Episode 161 | Reward: 69.57 | Avg: 23.31 | Epsilon: 0.850
Episode 162 | Reward: 9.44 | Avg: 23.18 | Epsilon: 0.850
Episode 163 | Reward: 31.73 | Avg: 23.61 | Epsilon: 0.849
Episode 164 | Reward: 9.48 | Avg: 23.60 | Epsilon: 0.848
Episode 165 | Reward: 66.74 | Avg: 24.64 | Epsilon: 0.847
Episode 166 | Reward: 10.07 | Avg: 24.52 | Epsilon: 0.846
Episode 167 | Reward: 31.82 | Avg: 24.95 | Epsilon: 0.845
Episode 168 | Reward: 8.97 | Avg: 24.93 | Epsilon: 0.844
Episode 169 | Reward: 9.93 | Avg: 24.93 | Epsilon: 0.844
Episode 170 | Reward: 9.95 | Avg: 24.81 | Epsilon: 0.843
Episode 171 | Reward: 8.83 | Avg: 24.65 | Epsilon: 0.842
Episode 172 | Reward: 9.81 | Avg: 24.65 | Epsilon: 0.841
Episode 173 | Reward: 15.17 | Avg: 24.76 | Epsilon: 0.840
Episode 174 | Reward: 29.96 | Avg: 25.15 | Epsilon: 0.839
Episode 175 | Reward: 19.88 | Avg: 25.23 | Epsilon: 0.839
