
Starting run: p2-lr5e-06-decay0.997-gamma0.95-tgt50
Network warmed up!
Episode 0 | Reward: 10.84 | Avg: 10.84 | Epsilon: 0.997
Episode 1 | Reward: 9.87 | Avg: 10.36 | Epsilon: 0.994
Episode 2 | Reward: 17.48 | Avg: 12.73 | Epsilon: 0.991
Episode 3 | Reward: 10.88 | Avg: 12.27 | Epsilon: 0.988
Episode 4 | Reward: 16.89 | Avg: 13.19 | Epsilon: 0.985
Episode 5 | Reward: 10.56 | Avg: 12.75 | Epsilon: 0.982
Episode 6 | Reward: 18.23 | Avg: 13.54 | Epsilon: 0.979
Episode 7 | Reward: 10.68 | Avg: 13.18 | Epsilon: 0.976
Episode 8 | Reward: 23.04 | Avg: 14.27 | Epsilon: 0.973
Episode 9 | Reward: 16.45 | Avg: 14.49 | Epsilon: 0.970
Episode 10 | Reward: 8.82 | Avg: 13.98 | Epsilon: 0.967
Episode 11 | Reward: 9.45 | Avg: 13.60 | Epsilon: 0.965
Episode 12 | Reward: 10.78 | Avg: 13.38 | Epsilon: 0.962
Episode 13 | Reward: 9.50 | Avg: 13.11 | Epsilon: 0.959
Episode 14 | Reward: 10.09 | Avg: 12.90 | Epsilon: 0.956
Episode 15 | Reward: 9.55 | Avg: 12.69 | Epsilon: 0.953
Episode 16 | Reward: 8.82 | Avg: 12.47 | Epsilon: 0.950
Episode 17 | Reward: 15.79 | Avg: 12.65 | Epsilon: 0.947
Episode 18 | Reward: 9.51 | Avg: 12.49 | Epsilon: 0.945
Episode 19 | Reward: 9.35 | Avg: 12.33 | Epsilon: 0.942
Episode 20 | Reward: 30.96 | Avg: 13.22 | Epsilon: 0.939
Episode 21 | Reward: 9.61 | Avg: 13.05 | Epsilon: 0.936
Episode 22 | Reward: 15.92 | Avg: 13.18 | Epsilon: 0.933
Episode 23 | Reward: 18.80 | Avg: 13.41 | Epsilon: 0.930
Episode 24 | Reward: 79.13 | Avg: 16.04 | Epsilon: 0.928
Episode 25 | Reward: 70.20 | Avg: 18.12 | Epsilon: 0.925
Episode 26 | Reward: 15.85 | Avg: 18.04 | Epsilon: 0.922
Episode 27 | Reward: 25.54 | Avg: 18.31 | Epsilon: 0.919
Episode 28 | Reward: 9.00 | Avg: 17.99 | Epsilon: 0.917
Episode 29 | Reward: 23.08 | Avg: 18.16 | Epsilon: 0.914
Episode 30 | Reward: 10.53 | Avg: 17.91 | Epsilon: 0.911
Episode 31 | Reward: 24.91 | Avg: 18.13 | Epsilon: 0.908
Episode 32 | Reward: 9.57 | Avg: 17.87 | Epsilon: 0.906
Episode 33 | Reward: 10.17 | Avg: 17.64 | Epsilon: 0.903
Episode 34 | Reward: 10.30 | Avg: 17.43 | Epsilon: 0.900
Episode 35 | Reward: 10.09 | Avg: 17.23 | Epsilon: 0.897
Episode 36 | Reward: 8.11 | Avg: 16.98 | Epsilon: 0.895
Episode 37 | Reward: 25.65 | Avg: 17.21 | Epsilon: 0.892
Episode 38 | Reward: 10.10 | Avg: 17.03 | Epsilon: 0.889
Episode 39 | Reward: 10.22 | Avg: 16.86 | Epsilon: 0.887
Episode 40 | Reward: 79.42 | Avg: 18.38 | Epsilon: 0.884
Episode 41 | Reward: 22.15 | Avg: 18.47 | Epsilon: 0.881
Episode 42 | Reward: 88.81 | Avg: 20.11 | Epsilon: 0.879
