
Starting run: p2-lr1e-05-decay0.999-gamma0.95-tgt50
Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.25171469955239445
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.17785409999487456
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 0 | Reward: 10.48 | Avg: 10.48 | Epsilon: 0.999
Episode 1 | Reward: 10.73 | Avg: 10.61 | Epsilon: 0.998
Episode 2 | Reward: 35.44 | Avg: 18.88 | Epsilon: 0.997
Episode 3 | Reward: 9.66 | Avg: 16.58 | Epsilon: 0.996
Episode 4 | Reward: 24.76 | Avg: 18.21 | Epsilon: 0.995
Episode 5 | Reward: 89.12 | Avg: 30.03 | Epsilon: 0.994
Episode 6 | Reward: 10.27 | Avg: 27.21 | Epsilon: 0.993
Episode 7 | Reward: 23.31 | Avg: 26.72 | Epsilon: 0.992
Episode 8 | Reward: 40.15 | Avg: 28.21 | Epsilon: 0.991
Episode 9 | Reward: 16.83 | Avg: 27.08 | Epsilon: 0.990
Episode 10 | Reward: 9.65 | Avg: 25.49 | Epsilon: 0.989
Episode 11 | Reward: 16.11 | Avg: 24.71 | Epsilon: 0.988
Episode 12 | Reward: 10.39 | Avg: 23.61 | Epsilon: 0.987
Episode 13 | Reward: 9.78 | Avg: 22.62 | Epsilon: 0.986
Episode 14 | Reward: 8.92 | Avg: 21.71 | Epsilon: 0.985
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.14354629949957598
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 15 | Reward: 17.76 | Avg: 21.46 | Epsilon: 0.984
Episode 16 | Reward: 18.42 | Avg: 21.28 | Epsilon: 0.983
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.4963652998849284
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.10300539736635983
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.12821189999522176
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.10360429999127518
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 17 | Reward: 71.10 | Avg: 24.05 | Epsilon: 0.982
Episode 18 | Reward: 10.27 | Avg: 23.32 | Epsilon: 0.981
Episode 19 | Reward: 10.85 | Avg: 22.70 | Epsilon: 0.980
Episode 20 | Reward: 10.69 | Avg: 22.13 | Epsilon: 0.979
Episode 21 | Reward: 16.04 | Avg: 21.85 | Epsilon: 0.978
Episode 22 | Reward: 9.60 | Avg: 21.32 | Epsilon: 0.977
Episode 23 | Reward: 69.74 | Avg: 23.34 | Epsilon: 0.976
Episode 24 | Reward: 17.21 | Avg: 23.09 | Epsilon: 0.975
Episode 25 | Reward: 9.95 | Avg: 22.59 | Epsilon: 0.974
Episode 26 | Reward: 9.72 | Avg: 22.11 | Epsilon: 0.973
Episode 27 | Reward: 24.97 | Avg: 22.21 | Epsilon: 0.972
Episode 28 | Reward: 10.48 | Avg: 21.81 | Epsilon: 0.971
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.269009099851246
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.20341719999851193
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 29 | Reward: 10.23 | Avg: 21.42 | Epsilon: 0.970
Episode 30 | Reward: 8.89 | Avg: 21.02 | Epsilon: 0.969
Episode 31 | Reward: 16.35 | Avg: 20.87 | Epsilon: 0.968
Episode 32 | Reward: 9.67 | Avg: 20.53 | Epsilon: 0.968
Episode 33 | Reward: 10.35 | Avg: 20.23 | Epsilon: 0.967
Episode 34 | Reward: 8.19 | Avg: 19.89 | Epsilon: 0.966
Episode 35 | Reward: 16.11 | Avg: 19.78 | Epsilon: 0.965
Episode 36 | Reward: 10.21 | Avg: 19.52 | Epsilon: 0.964
Episode 37 | Reward: 88.47 | Avg: 21.34 | Epsilon: 0.963
Episode 38 | Reward: 9.99 | Avg: 21.05 | Epsilon: 0.962
Episode 39 | Reward: 9.03 | Avg: 20.75 | Epsilon: 0.961
Episode 40 | Reward: 10.25 | Avg: 20.49 | Epsilon: 0.960
Episode 41 | Reward: 15.53 | Avg: 20.37 | Epsilon: 0.959
Episode 42 | Reward: 16.86 | Avg: 20.29 | Epsilon: 0.958
Episode 43 | Reward: 9.57 | Avg: 20.05 | Epsilon: 0.957
Episode 44 | Reward: 9.11 | Avg: 19.80 | Epsilon: 0.956
Episode 45 | Reward: 26.15 | Avg: 19.94 | Epsilon: 0.955
Episode 46 | Reward: 9.03 | Avg: 19.71 | Epsilon: 0.954
Episode 47 | Reward: 15.60 | Avg: 19.62 | Epsilon: 0.953
Episode 48 | Reward: 9.67 | Avg: 19.42 | Epsilon: 0.952
Episode 49 | Reward: 16.76 | Avg: 19.37 | Epsilon: 0.951
Episode 50 | Reward: 17.72 | Avg: 19.51 | Epsilon: 0.950
Episode 51 | Reward: 9.18 | Avg: 19.48 | Epsilon: 0.949
Episode 52 | Reward: 17.35 | Avg: 19.12 | Epsilon: 0.948
Episode 53 | Reward: 77.32 | Avg: 20.47 | Epsilon: 0.947
Episode 54 | Reward: 15.95 | Avg: 20.30 | Epsilon: 0.946
Episode 55 | Reward: 9.93 | Avg: 18.71 | Epsilon: 0.946
Episode 56 | Reward: 17.89 | Avg: 18.87 | Epsilon: 0.945
Episode 57 | Reward: 9.89 | Avg: 18.60 | Epsilon: 0.944
Episode 58 | Reward: 18.29 | Avg: 18.16 | Epsilon: 0.943
Episode 59 | Reward: 9.43 | Avg: 18.01 | Epsilon: 0.942
Episode 60 | Reward: 16.31 | Avg: 18.15 | Epsilon: 0.941
Episode 61 | Reward: 9.96 | Avg: 18.02 | Epsilon: 0.940
Episode 62 | Reward: 9.69 | Avg: 18.01 | Epsilon: 0.939
Episode 63 | Reward: 10.68 | Avg: 18.03 | Epsilon: 0.938
Episode 64 | Reward: 8.40 | Avg: 18.02 | Epsilon: 0.937
Episode 65 | Reward: 9.75 | Avg: 17.86 | Epsilon: 0.936
Episode 66 | Reward: 11.06 | Avg: 17.71 | Epsilon: 0.935
Episode 67 | Reward: 89.26 | Avg: 18.07 | Epsilon: 0.934
Episode 68 | Reward: 16.52 | Avg: 18.20 | Epsilon: 0.933
Episode 69 | Reward: 16.28 | Avg: 18.31 | Epsilon: 0.932
