Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.17814669999415855
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 0 | Reward: 114.31 | Avg: 114.31 | Epsilon: 0.999 | Steps: 451
Episode 1 | Reward: 98.27 | Avg: 106.29 | Epsilon: 0.998 | Steps: 197
Episode 2 | Reward: 110.10 | Avg: 107.56 | Epsilon: 0.997 | Steps: 567
Episode 3 | Reward: 108.98 | Avg: 107.91 | Epsilon: 0.996 | Steps: 251
Episode 4 | Reward: 124.54 | Avg: 111.24 | Epsilon: 0.995 | Steps: 705
Episode 5 | Reward: 104.28 | Avg: 110.08 | Epsilon: 0.994 | Steps: 381
Episode 6 | Reward: 109.59 | Avg: 110.01 | Epsilon: 0.993 | Steps: 397
Episode 7 | Reward: 118.14 | Avg: 111.03 | Epsilon: 0.992 | Steps: 891
Episode 8 | Reward: 103.61 | Avg: 110.20 | Epsilon: 0.991 | Steps: 427
Episode 9 | Reward: 116.39 | Avg: 110.82 | Epsilon: 0.990 | Steps: 864
Episode 10 | Reward: 112.33 | Avg: 110.96 | Epsilon: 0.989 | Steps: 382
Episode 11 | Reward: 124.92 | Avg: 112.12 | Epsilon: 0.988 | Steps: 859
Episode 12 | Reward: 124.48 | Avg: 113.07 | Epsilon: 0.987 | Steps: 864
Episode 13 | Reward: 125.03 | Avg: 113.93 | Epsilon: 0.986 | Steps: 1097
Episode 14 | Reward: 111.43 | Avg: 113.76 | Epsilon: 0.985 | Steps: 791
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.20458759998928144
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.19735789999367626
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.20102329999872381
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.1545296999997845
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.1511767999991207
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 15 | Reward: 98.58 | Avg: 112.81 | Epsilon: 0.984 | Steps: 134
Episode 16 | Reward: 103.54 | Avg: 112.27 | Epsilon: 0.983 | Steps: 415
Episode 17 | Reward: 109.71 | Avg: 112.12 | Epsilon: 0.982 | Steps: 479
Episode 18 | Reward: 112.61 | Avg: 112.15 | Epsilon: 0.981 | Steps: 499
Episode 19 | Reward: 102.01 | Avg: 111.64 | Epsilon: 0.980 | Steps: 259
Episode 20 | Reward: 112.02 | Avg: 111.66 | Epsilon: 0.979 | Steps: 677
Episode 21 | Reward: 109.10 | Avg: 111.54 | Epsilon: 0.978 | Steps: 303
Episode 22 | Reward: 112.74 | Avg: 111.60 | Epsilon: 0.977 | Steps: 389
Episode 23 | Reward: 107.93 | Avg: 111.44 | Epsilon: 0.976 | Steps: 457
Episode 24 | Reward: 96.49 | Avg: 110.85 | Epsilon: 0.975 | Steps: 112
Episode 25 | Reward: 120.36 | Avg: 111.21 | Epsilon: 0.974 | Steps: 1201
Episode 26 | Reward: 111.26 | Avg: 111.21 | Epsilon: 0.973 | Steps: 579
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.2939150998695368
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 27 | Reward: 120.46 | Avg: 111.54 | Epsilon: 0.972 | Steps: 727
Episode 28 | Reward: 125.33 | Avg: 112.02 | Epsilon: 0.971 | Steps: 1321
Episode 29 | Reward: 104.12 | Avg: 111.76 | Epsilon: 0.970 | Steps: 316
Episode 30 | Reward: 110.01 | Avg: 111.70 | Epsilon: 0.969 | Steps: 589
Episode 31 | Reward: 111.59 | Avg: 111.70 | Epsilon: 0.968 | Steps: 560
Episode 32 | Reward: 112.13 | Avg: 111.71 | Epsilon: 0.968 | Steps: 580
Episode 33 | Reward: 106.65 | Avg: 111.56 | Epsilon: 0.967 | Steps: 269
Episode 34 | Reward: 95.92 | Avg: 111.11 | Epsilon: 0.966 | Steps: 81
Episode 35 | Reward: 105.78 | Avg: 110.96 | Epsilon: 0.965 | Steps: 507
Episode 36 | Reward: 111.84 | Avg: 110.99 | Epsilon: 0.964 | Steps: 382
Episode 37 | Reward: 125.04 | Avg: 111.36 | Epsilon: 0.963 | Steps: 905
Episode 38 | Reward: 105.60 | Avg: 111.21 | Epsilon: 0.962 | Steps: 382
Episode 39 | Reward: 95.94 | Avg: 110.83 | Epsilon: 0.961 | Steps: 83
Episode 40 | Reward: 110.71 | Avg: 110.83 | Epsilon: 0.960 | Steps: 626
Episode 41 | Reward: 112.32 | Avg: 110.86 | Epsilon: 0.959 | Steps: 626
Episode 42 | Reward: 98.15 | Avg: 110.57 | Epsilon: 0.958 | Steps: 198
Episode 43 | Reward: 102.86 | Avg: 110.39 | Epsilon: 0.957 | Steps: 231
Episode 44 | Reward: 114.04 | Avg: 110.47 | Epsilon: 0.956 | Steps: 464
Episode 45 | Reward: 105.29 | Avg: 110.36 | Epsilon: 0.955 | Steps: 461
Episode 46 | Reward: 98.95 | Avg: 110.12 | Epsilon: 0.954 | Steps: 186
Episode 47 | Reward: 96.83 | Avg: 109.84 | Epsilon: 0.953 | Steps: 126
Episode 48 | Reward: 101.36 | Avg: 109.67 | Epsilon: 0.952 | Steps: 323
Episode 49 | Reward: 111.77 | Avg: 109.71 | Epsilon: 0.951 | Steps: 520
Episode 50 | Reward: 109.77 | Avg: 109.62 | Epsilon: 0.950 | Steps: 475
Episode 51 | Reward: 98.31 | Avg: 109.62 | Epsilon: 0.949 | Steps: 224
Episode 52 | Reward: 104.75 | Avg: 109.51 | Epsilon: 0.948 | Steps: 534
Episode 53 | Reward: 116.67 | Avg: 109.67 | Epsilon: 0.947 | Steps: 907
Episode 54 | Reward: 124.58 | Avg: 109.67 | Epsilon: 0.946 | Steps: 833
Episode 55 | Reward: 111.52 | Avg: 109.81 | Epsilon: 0.946 | Steps: 432
