
Starting run: p3-
Network warmed up!
Episode 0 | Reward: -5.57 | Avg: -5.57 | Epsilon: 0.995 | Steps: 241 | Loss: 1667.4528 | Q: -28.9627 | Actions: ['0.31', '0.33', '0.36']
Episode 1 | Reward: -3.64 | Avg: -4.60 | Epsilon: 0.990 | Steps: 99 | Loss: 2434.2779 | Q: -25.3746 | Actions: ['0.39', '0.29', '0.31']
Episode 2 | Reward: -5.42 | Avg: -4.88 | Epsilon: 0.985 | Steps: 237 | Loss: 2437.1707 | Q: -28.8443 | Actions: ['0.35', '0.34', '0.31']
Episode 3 | Reward: -1.16 | Avg: -3.95 | Epsilon: 0.980 | Steps: 201 | Loss: 2111.8369 | Q: -25.3094 | Actions: ['0.28', '0.31', '0.41']
Episode 4 | Reward: -4.68 | Avg: -4.09 | Epsilon: 0.975 | Steps: 91 | Loss: 2614.0870 | Q: -29.5992 | Actions: ['0.33', '0.27', '0.40']
Episode 5 | Reward: -1.75 | Avg: -3.70 | Epsilon: 0.970 | Steps: 202 | Loss: 2375.5488 | Q: -25.1555 | Actions: ['0.31', '0.35', '0.34']
Episode 6 | Reward: -5.95 | Avg: -4.02 | Epsilon: 0.966 | Steps: 81 | Loss: 2037.4463 | Q: -24.7138 | Actions: ['0.36', '0.22', '0.42']
Episode 7 | Reward: 998.40 | Avg: 121.28 | Epsilon: 0.961 | Steps: 568 | Loss: 2557.1239 | Q: -23.8792 | Actions: ['0.35', '0.32', '0.33']
Episode 8 | Reward: 992.50 | Avg: 218.08 | Epsilon: 0.956 | Steps: 627 | Loss: 2703.8857 | Q: -20.1515 | Actions: ['0.32', '0.28', '0.40']
Episode 9 | Reward: 989.40 | Avg: 295.21 | Epsilon: 0.951 | Steps: 658 | Loss: 3135.8366 | Q: -17.1121 | Actions: ['0.29', '0.31', '0.40']
Episode 10 | Reward: -2.77 | Avg: 268.12 | Epsilon: 0.946 | Steps: 216 | Loss: 2461.6752 | Q: -16.1870 | Actions: ['0.32', '0.36', '0.32']
Episode 11 | Reward: -14.11 | Avg: 244.60 | Epsilon: 0.942 | Steps: 211 | Loss: 5145.4114 | Q: -17.1014 | Actions: ['0.30', '0.30', '0.40']
Episode 12 | Reward: -3.40 | Avg: 225.53 | Epsilon: 0.937 | Steps: 211 | Loss: 2187.0305 | Q: -14.4795 | Actions: ['0.28', '0.36', '0.36']
Episode 13 | Reward: -5.82 | Avg: 209.00 | Epsilon: 0.932 | Steps: 81 | Loss: 2334.5349 | Q: -14.3240 | Actions: ['0.36', '0.25', '0.40']
Episode 14 | Reward: -4.49 | Avg: 194.77 | Epsilon: 0.928 | Steps: 233 | Loss: 2283.2767 | Q: -15.0537 | Actions: ['0.34', '0.29', '0.37']
Episode 15 | Reward: -3.58 | Avg: 182.37 | Epsilon: 0.923 | Steps: 216 | Loss: 1982.8862 | Q: -13.1034 | Actions: ['0.34', '0.37', '0.30']
Episode 16 | Reward: -4.13 | Avg: 171.40 | Epsilon: 0.918 | Steps: 227 | Loss: 4091.5787 | Q: -12.4327 | Actions: ['0.32', '0.33', '0.34']
Episode 17 | Reward: 997.10 | Avg: 217.27 | Epsilon: 0.914 | Steps: 581 | Loss: 1868.0835 | Q: -11.2072 | Actions: ['0.32', '0.30', '0.38']
Episode 18 | Reward: -10.19 | Avg: 205.30 | Epsilon: 0.909 | Steps: 177 | Loss: 1733.2418 | Q: -10.6534 | Actions: ['0.23', '0.35', '0.42']
Episode 19 | Reward: -2.22 | Avg: 194.93 | Epsilon: 0.905 | Steps: 81 | Loss: 1826.7749 | Q: -11.3637 | Actions: ['0.31', '0.31', '0.38']
Episode 20 | Reward: -1.69 | Avg: 185.56 | Epsilon: 0.900 | Steps: 83 | Loss: 1938.3102 | Q: -14.2010 | Actions: ['0.33', '0.27', '0.41']
Episode 21 | Reward: -1.84 | Avg: 177.04 | Epsilon: 0.896 | Steps: 82 | Loss: 1639.6955 | Q: -10.8314 | Actions: ['0.33', '0.33', '0.34']
Episode 22 | Reward: -8.85 | Avg: 168.96 | Epsilon: 0.891 | Steps: 258 | Loss: 1678.6023 | Q: -10.4436 | Actions: ['0.30', '0.33', '0.37']
Episode 23 | Reward: -3.54 | Avg: 161.77 | Epsilon: 0.887 | Steps: 220 | Loss: 1805.3390 | Q: -9.8782 | Actions: ['0.28', '0.35', '0.37']
Episode 24 | Reward: -4.49 | Avg: 155.12 | Epsilon: 0.882 | Steps: 98 | Loss: 1430.9112 | Q: -9.2908 | Actions: ['0.35', '0.31', '0.35']
Episode 25 | Reward: -4.20 | Avg: 149.00 | Epsilon: 0.878 | Steps: 235 | Loss: 3773.9750 | Q: -8.6527 | Actions: ['0.30', '0.31', '0.40']
Episode 26 | Reward: -4.89 | Avg: 143.30 | Epsilon: 0.873 | Steps: 304 | Loss: 1638.2810 | Q: -8.9482 | Actions: ['0.27', '0.29', '0.44']
Episode 27 | Reward: -5.24 | Avg: 137.99 | Epsilon: 0.869 | Steps: 81 | Loss: 1301.3418 | Q: -4.0082 | Actions: ['0.33', '0.27', '0.40']
Episode 28 | Reward: -9.30 | Avg: 132.91 | Epsilon: 0.865 | Steps: 273 | Loss: 1508.2850 | Q: -6.7690 | Actions: ['0.26', '0.32', '0.42']
Episode 29 | Reward: -5.28 | Avg: 128.31 | Epsilon: 0.860 | Steps: 81 | Loss: 1385.8405 | Q: -9.9664 | Actions: ['0.31', '0.30', '0.40']
Episode 30 | Reward: -3.54 | Avg: 124.05 | Epsilon: 0.856 | Steps: 92 | Loss: 1244.8059 | Q: -6.4149 | Actions: ['0.26', '0.34', '0.40']
Episode 31 | Reward: -9.77 | Avg: 119.87 | Epsilon: 0.852 | Steps: 285 | Loss: 1461.0535 | Q: -6.2542 | Actions: ['0.26', '0.31', '0.43']
Episode 32 | Reward: -12.54 | Avg: 115.86 | Epsilon: 0.848 | Steps: 292 | Loss: 1489.4383 | Q: -5.9134 | Actions: ['0.33', '0.33', '0.35']
Episode 33 | Reward: -4.46 | Avg: 112.32 | Epsilon: 0.843 | Steps: 234 | Loss: 1467.0665 | Q: -6.4821 | Actions: ['0.29', '0.33', '0.38']
Episode 34 | Reward: -9.81 | Avg: 108.83 | Epsilon: 0.839 | Steps: 280 | Loss: 1184.8364 | Q: -2.8069 | Actions: ['0.30', '0.28', '0.43']
Episode 35 | Reward: -7.06 | Avg: 105.61 | Epsilon: 0.835 | Steps: 257 | Loss: 1210.3274 | Q: -2.2979 | Actions: ['0.29', '0.26', '0.46']
Episode 36 | Reward: 990.90 | Avg: 129.54 | Epsilon: 0.831 | Steps: 643 | Loss: 2688.5638 | Q: -0.7349 | Actions: ['0.27', '0.30', '0.42']
Episode 37 | Reward: -2.57 | Avg: 126.06 | Epsilon: 0.827 | Steps: 81 | Loss: 1199.6003 | Q: -2.5901 | Actions: ['0.28', '0.33', '0.38']
Episode 38 | Reward: -5.24 | Avg: 122.70 | Epsilon: 0.822 | Steps: 247 | Loss: 1091.9174 | Q: -0.5842 | Actions: ['0.28', '0.27', '0.45']
Episode 39 | Reward: -11.83 | Avg: 119.33 | Epsilon: 0.818 | Steps: 304 | Loss: 1232.5644 | Q: -1.0218 | Actions: ['0.33', '0.28', '0.39']
