run,agent_type,agent_id,best_stage_id,best_win_rate,best_avg_reward,total_stages_in_curriculum,stages_completed,max_stage_reached
logs-20250728-8-deck-0.9-run1,dqn,0,4,0.4942,-0.23403699999999997,7,7,7
logs-20250808-8-deck-0.9-run2,dqn,0,3,0.47856,-0.3483734999999999,5,5,5
logs-20250809-8-deck-0.9-run3,dqn,0,5,0.44802,-0.5403385,5,5,5
logs-20250809-8-deck-0.9-run4,dqn,0,6,0.46989,-0.54322,7,7,7
logs-20250809-8-deck-0.9-run5,dqn,0,4,0.47436,-0.306219,7,7,7
logs-20250809-8-deck-0.9-run6,dqn,0,5,0.4524,-0.478445,5,5,5
logs-20250815-8-deck-0.9-run7,dqn,0,4,0.4899,-0.34483600000000003,7,7,7
logs-20250816-8-deck-0.9-run8,dqn,0,5,0.48976,-0.35101699999999997,8,8,8
logs-20250816-8-deck-0.9-run9,dqn,0,3,0.46002,-0.26680800000000005,5,5,5
logs-20250817-8-deck-0.9-run10,dqn,0,4,0.48442,-0.295826,7,7,7
logs-20250728-8-deck-0.9-run1,tabular,1,5,0.39002,-0.5517789999999999,7,7,7
logs-20250808-8-deck-0.9-run2,tabular,1,3,0.38815,-0.596566,5,5,5
logs-20250809-8-deck-0.9-run3,tabular,1,4,0.3967,-0.5364305,5,5,5
logs-20250809-8-deck-0.9-run4,tabular,1,5,0.39716,-0.535168,7,7,7
logs-20250809-8-deck-0.9-run5,tabular,1,7,0.39417,-0.5822235,7,7,7
logs-20250809-8-deck-0.9-run6,tabular,1,1,0.38561,-0.52386,5,5,5
logs-20250815-8-deck-0.9-run7,tabular,1,2,0.38814,-0.5339,7,7,7
logs-20250816-8-deck-0.9-run8,tabular,1,3,0.38948,-0.5142,8,8,8
logs-20250816-8-deck-0.9-run9,tabular,1,3,0.38794,-0.576509,5,5,5
logs-20250817-8-deck-0.9-run10,tabular,1,4,0.39052,-0.5653940000000001,7,7,7
