stage_id,agent_type,run_index,win_rate,avg_reward
3,tabular,0,0.3878,-0.539564
3,tabular,1,0.38815,-0.596566
3,tabular,2,0.36434,-0.59339
3,tabular,3,0.39333,-0.52357
3,tabular,4,0.39069,-0.533532
3,tabular,5,0.37192,-0.59714
3,tabular,6,0.38172,-0.5697420000000001
3,tabular,7,0.38948,-0.5142
3,tabular,8,0.38794,-0.576509
3,tabular,9,0.36595,-0.66079
2,tabular,0,0.38533,-0.527135
2,tabular,1,0.38451,-0.54978
2,tabular,2,0.39583,-0.5009
2,tabular,3,0.37573,-0.58724
2,tabular,4,0.38055,-0.54914
2,tabular,5,0.37361,-0.585525
2,tabular,6,0.38814,-0.5339
2,tabular,7,0.36482,-0.62034
2,tabular,8,0.38716,-0.51355
2,tabular,9,0.38855,-0.55618
4,tabular,0,0.38151,-0.612014
4,tabular,1,0.35907,-0.63082
4,tabular,2,0.3967,-0.5364305
4,tabular,3,0.38324,-0.5937720000000001
4,tabular,4,0.38703,-0.5771769999999999
4,tabular,5,0.38385,-0.5901455
4,tabular,6,0.37326,-0.626158
4,tabular,7,0.38574,-0.5649639999999999
4,tabular,8,0.37404,-0.58754
4,tabular,9,0.39052,-0.5653940000000001
1,tabular,0,0.3871,-0.49519
1,tabular,1,0.38119,-0.54532
1,tabular,2,0.38025,-0.55181
1,tabular,3,0.38529,-0.5259
1,tabular,4,0.37928,-0.548725
1,tabular,5,0.38561,-0.52386
1,tabular,6,0.36936,-0.61557
1,tabular,7,0.37178,-0.60887
1,tabular,8,0.38186,-0.54655
1,tabular,9,0.38133,-0.5477
7,tabular,0,0.37902,-0.58825
7,tabular,1,0.37482,-0.6004605000000001
7,tabular,2,0.39417,-0.5822235
7,tabular,3,0.38178,-0.599209
7,tabular,4,0.37052,-0.57783
7,tabular,5,0.37753,-0.615831
5,tabular,0,0.39002,-0.5517789999999999
5,tabular,1,0.37555,-0.6209805
5,tabular,2,0.37783,-0.6529780000000001
5,tabular,3,0.39716,-0.535168
5,tabular,4,0.38645,-0.577906
5,tabular,5,0.37815,-0.612946
5,tabular,6,0.38064,-0.5972139999999999
5,tabular,7,0.38044,-0.62762
5,tabular,8,0.36332,-0.629977
5,tabular,9,0.38908,-0.6372810000000001
6,tabular,0,0.37778,-0.610474
6,tabular,1,0.39202,-0.5893055
6,tabular,2,0.38448,-0.6326094999999999
6,tabular,3,0.38072,-0.620808
6,tabular,4,0.3694,-0.5532
6,tabular,5,0.37015,-0.6599164999999999
2,dqn,0,0.42368,-0.10443
2,dqn,1,0.42446,-0.19555
2,dqn,2,0.42712,-0.18532
2,dqn,3,0.42548,-0.189885
2,dqn,4,0.42394,-0.19712
2,dqn,5,0.42347,-0.17938
2,dqn,6,0.42344,-0.19991
2,dqn,7,0.42446,-0.20831
2,dqn,8,0.42412,-0.18546
2,dqn,9,0.42841,-0.171655
1,dqn,0,0.42244,-0.1214
1,dqn,1,0.42269,-0.19925
1,dqn,2,0.42305,-0.212385
1,dqn,3,0.42424,-0.194225
1,dqn,4,0.42326,-0.17577
1,dqn,5,0.42172,-0.21321
1,dqn,6,0.42276,-0.19177
1,dqn,7,0.42364,-0.20666
1,dqn,8,0.42342,-0.2009
1,dqn,9,0.43296,-0.191225
7,dqn,0,0.45376,-0.24324699999999996
7,dqn,1,0.4513,-0.41395449999999995
7,dqn,2,0.44625,-0.39567699999999995
7,dqn,3,0.43712,-0.613274
7,dqn,4,0.4073,-0.35216
7,dqn,5,0.32988,-33.4740965
4,dqn,0,0.4942,-0.23403699999999997
4,dqn,1,0.43206,-0.253489
4,dqn,2,0.43121,-0.272328
4,dqn,3,0.45494,-0.26989949999999996
4,dqn,4,0.47436,-0.306219
4,dqn,5,0.43281,-0.36420850000000005
4,dqn,6,0.4899,-0.34483600000000003
4,dqn,7,0.4782,-0.303282
4,dqn,8,0.45774,-0.36331
4,dqn,9,0.48442,-0.295826
6,dqn,0,0.45614,-0.246677
6,dqn,1,0.46989,-0.54322
6,dqn,2,0.43959,-0.7423085
6,dqn,3,0.46016,-0.594495
6,dqn,4,0.3827,-0.27162
6,dqn,5,0.40051,-0.9357425
3,dqn,0,0.45541,-0.20066399999999998
3,dqn,1,0.47856,-0.3483734999999999
3,dqn,2,0.3784,-0.15918
3,dqn,3,0.44636,-0.24360900000000002
3,dqn,4,0.46658,-0.28470199999999996
3,dqn,5,0.36539,-0.146705
3,dqn,6,0.47608,-0.28667400000000004
3,dqn,7,0.424,-0.184
3,dqn,8,0.46002,-0.26680800000000005
3,dqn,9,0.45379,-0.244413
5,dqn,0,0.48658,-0.29973
5,dqn,1,0.44056,-0.38627
5,dqn,2,0.44802,-0.5403385
5,dqn,3,0.41471,-0.285907
5,dqn,4,0.4127,-0.2733835
5,dqn,5,0.4524,-0.478445
5,dqn,6,0.4352,-0.344247
5,dqn,7,0.48976,-0.35101699999999997
5,dqn,8,0.45326,-0.475779
5,dqn,9,0.45247,-8.293256000000001
8,dqn,0,0.44618,-0.5378990000000001
8,tabular,0,0.3514,-0.669704
